,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Direction,Dataset
0,Lysosome,3/121,0.003249208365999697,1.0,0,0,10.11975037949064,57.9795300253322,GGA1;AP3M1;SGSH,up,BioPlanet
1,"Fatty acid, triacylglycerol, and ketone body metabolism",3/173,0.008755652530847998,1.0,0,0,7.0779756989501,33.535843696998356,AGPAT5;MED13;CPT2,up,BioPlanet
2,Axonal growth stimulation,1/5,0.012191219830698688,1.0,0,0,81.6326530612245,359.7583079469002,ARHGDIA,up,BioPlanet
3,Import of palmitoyl-CoA into the mitochondrial matrix,1/8,0.019435974184612268,1.0,0,0,51.020408163265316,201.05253013595427,CPT2,up,BioPlanet
4,SREBP control of lipid biosynthesis,1/8,0.019435974184612268,1.0,0,0,51.020408163265316,201.05253013595427,SCAP,up,BioPlanet
5,Axonogenesis regulation by p75 neurotrophin receptor,1/9,0.021839307484116888,1.0,0,0,45.351473922902485,173.42602436330466,ARHGDIA,up,BioPlanet
6,Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha),2/112,0.030807709687087226,1.0,0,0,7.288629737609329,25.364360829520702,MED13;CPT2,up,BioPlanet
7,p27 phosphorylation regulation during cell cycle progression,1/13,0.03139507576319159,1.0,0,0,31.39717425431711,108.66889234518707,CKS1B,up,BioPlanet
8,Polyamine metabolism,1/14,0.033769693865094014,1.0,0,0,29.15451895043732,98.7810935836037,AMD1,up,BioPlanet
9,ABCA transporters in lipid homeostasis,1/17,0.04085938516720612,1.0,0,0,24.009603841536613,76.77355911185376,ABCA7,up,BioPlanet
10,Activated AMPK stimulation of fatty-acid oxidation in muscle,1/18,0.04321127244441888,1.0,0,0,22.67573696145125,71.23931704209987,CPT2,up,BioPlanet
11,Glycosaminoglycan degradation,1/19,0.045557510321821836,1.0,0,0,21.482277121374864,66.35402337351628,SGSH,up,BioPlanet
12,Heparan sulfate/heparin glycosaminoglycan (HS-GAG) degradation,1/20,0.04789811206941787,1.0,0,0,20.40816326530613,62.01386100697238,SGSH,up,BioPlanet
13,RNA polymerase II promoter escape,1/22,0.052562460131218174,1.0,0,0,18.55287569573284,54.652191090011996,TAF1,up,BioPlanet
14,Mitochondrial fatty acid beta-oxidation,1/23,0.054886232846338284,1.0,0,0,17.74622892635315,51.50830043904919,CPT2,up,BioPlanet
15,Hypoxia and p53 in the cardiovascular system,1/23,0.054886232846338284,1.0,0,0,17.74622892635315,51.50830043904919,TAF1,up,BioPlanet
16,Triacylglyceride biosynthesis,1/24,0.057204422219257416,1.0,0,0,17.006802721088437,48.658572654069516,AGPAT5,up,BioPlanet
17,SREBP signaling,1/24,0.057204422219257416,1.0,0,0,17.006802721088437,48.658572654069516,SCAP,up,BioPlanet
18,Metal ion solute carrier family (SLC) transporters,1/25,0.059517041402020875,1.0,0,0,16.3265306122449,46.06518526236904,SLC31A1,up,BioPlanet
19,Alpha-9 beta-1 integrin pathway,1/25,0.059517041402020875,1.0,0,0,16.3265306122449,46.06518526236904,ADAM15,up,BioPlanet
20,Interaction between L1-type proteins and ankyrins,1/26,0.06182410346022105,1.0,0,0,15.698587127158554,43.69642020297904,SCN9A,up,BioPlanet
21,Phosphatidic acid biosynthesis,1/28,0.06642160851252993,1.0,0,0,14.57725947521866,39.529633324123054,AGPAT5,up,BioPlanet
22,Skeletal myogenesis control by HDAC and calcium/calmodulin-dependent kinase (CaMK),1/29,0.06871207754428547,1.0,0,0,14.074595355383533,37.68937781813083,CABIN1,up,BioPlanet
23,T cell receptor calcium pathway,1/29,0.06871207754428547,1.0,0,0,14.074595355383533,37.68937781813083,CABIN1,up,BioPlanet
24,Association of TriC/CCT with target proteins during biosynthesis,1/29,0.06871207754428547,1.0,0,0,14.074595355383533,37.68937781813083,AP3M1,up,BioPlanet
25,CDC42 activity regulation,1/30,0.07099704156206503,1.0,0,0,13.60544217687075,35.987987359848866,ARHGDIA,up,BioPlanet
26,Cysteine and methionine metabolism,1/34,0.08008210609353099,1.0,0,0,12.004801920768307,30.308557556443446,AMD1,up,BioPlanet
27,Fatty acid beta oxidation,1/34,0.08008210609353099,1.0,0,0,12.004801920768307,30.308557556443446,CPT2,up,BioPlanet
28,MEF2D role in T cell apoptosis,1/35,0.08233973871315534,1.0,0,0,11.661807580174925,29.118384092278692,CABIN1,up,BioPlanet
29,Basal transcription factors,1/35,0.08233973871315534,1.0,0,0,11.661807580174925,29.118384092278692,TAF1,up,BioPlanet
30,Cyclin D-associated events in G1,1/38,0.08908012117667435,1.0,0,0,10.741138560687432,25.97442616843159,CKS1B,up,BioPlanet
31,RAC1 activity regulation,1/38,0.08908012117667435,1.0,0,0,10.741138560687432,25.97442616843159,ARHGDIA,up,BioPlanet
32,Triglyceride biosynthesis,1/38,0.08908012117667435,1.0,0,0,10.741138560687432,25.97442616843159,AGPAT5,up,BioPlanet
33,HIV-1 transcription initiation,1/39,0.09131611933080344,1.0,0,0,10.465724751439037,25.048958173793586,TAF1,up,BioPlanet
34,FOXM1 transcription factor network,1/41,0.09577199782508727,1.0,0,0,9.955201592832255,23.352761921448888,CKS1B,up,BioPlanet
35,Fatty acid metabolism,1/42,0.09799190344985674,1.0,0,0,9.718172983479104,22.574056575152703,CPT2,up,BioPlanet
36,Porphyrin and chlorophyll metabolism,1/43,0.10020647014004594,1.0,0,0,9.4921689606075,21.836948459042464,COX15,up,BioPlanet
37,Lysine degradation,1/44,0.10241571046432067,1.0,0,0,9.27643784786642,21.13835951430081,SETD8,up,BioPlanet
38,Vasopressin-regulated water reabsorption,1/44,0.10241571046432067,1.0,0,0,9.27643784786642,21.13835951430081,ARHGDIA,up,BioPlanet
39,RhoA activity regulation,1/46,0.10681826213767642,1.0,0,0,8.873114463176575,19.845841821431655,ARHGDIA,up,BioPlanet
40,ABC transporters,1/47,0.10901159849285977,1.0,0,0,8.684324793747287,19.247077674533823,ABCA7,up,BioPlanet
41,Lipid and lipoprotein metabolism,3/489,0.11769334413382815,1.0,0,0,2.5040691123075,5.357888608313781,AGPAT5;MED13;CPT2,up,BioPlanet
42,Type I interferon (interferon-alpha/beta) pathway,1/51,0.11773230434297198,1.0,0,0,8.003201280512204,17.12158334507697,PTPRD,up,BioPlanet
43,Heparan sulfate/heparin glycosaminoglycan (HS-GAG) metabolism,1/52,0.11989938284584432,1.0,0,0,7.849293563579278,16.649155135028106,SGSH,up,BioPlanet
44,Protein folding,1/53,0.122061246826909,1.0,0,0,7.7011936850211775,16.197399592213856,AP3M1,up,BioPlanet
45,Arginine and proline metabolism,1/54,0.12421790857292912,1.0,0,0,7.558578987150415,15.765063707247872,AMD1,up,BioPlanet
46,Calcineurin-dependent NFAT signaling role in lymphocytes,1/55,0.12636938033824105,1.0,0,0,7.421150278293135,15.350991248791996,CABIN1,up,BioPlanet
47,RAGE pathway,1/60,0.13704931664792866,1.0,0,0,6.802721088435375,13.519826138757372,SCAP,up,BioPlanet
48,HIV genome transcription,1/61,0.13916990440240695,1.0,0,0,6.691201070592173,13.195448367099164,TAF1,up,BioPlanet
49,Ubiquitin-mediated degradation of phosphorylated Cdc25A,1/64,0.145501086009976,1.0,0,0,6.3775510204081645,12.293187043446148,CKS1B,up,BioPlanet
50,Retinoblastoma protein regulation,1/66,0.1496965090156283,1.0,0,0,6.184291898577612,11.744868940614404,TAF1,up,BioPlanet
51,PPAR signaling pathway,1/69,0.1559518351617717,1.0,0,0,5.915409642117718,10.992061924687226,CPT2,up,BioPlanet
52,CDC42 signaling events,1/70,0.1580269091413692,1.0,0,0,5.830903790087462,10.757958888834528,ARHGDIA,up,BioPlanet
53,Rac1 cell motility signaling pathway,1/71,0.16009698547444592,1.0,0,0,5.748778384593273,10.531621087515461,ARHGDIA,up,BioPlanet
54,Cyclin A-Cdk2-associated events at S phase entry,1/72,0.1621620759393262,1.0,0,0,5.6689342403628125,10.312692602742626,CKS1B,up,BioPlanet
55,Cap-dependent translation initiation,1/73,0.16422219226923945,1.0,0,0,5.5912776069331835,10.100838340526812,RPL7,up,BioPlanet
56,Chronic myeloid leukemia,1/73,0.16422219226923945,1.0,0,0,5.5912776069331835,10.100838340526812,CTBP2,up,BioPlanet
57,Transcriptional regulation of white adipocyte differentiation,1/77,0.17241315077194586,1.0,0,0,5.30082162735224,9.318111015542156,MED13,up,BioPlanet
58,Small cell lung cancer,1/84,0.1865585167269208,1.0,0,0,4.859086491739553,8.158456396990406,CKS1B,up,BioPlanet
59,Pathways in cancer,2/325,0.18915017683326385,1.0,0,0,2.5117739403453694,4.18264111276552,CTBP2;CKS1B,up,BioPlanet
60,Glycerophospholipid biosynthesis,1/86,0.19055636178365606,1.0,0,0,4.7460844803037485,7.868093335513186,AGPAT5,up,BioPlanet
61,Neural crest differentiation,1/91,0.20046695733149195,1.0,0,0,4.485310607759588,7.208368904040989,CTBP2,up,BioPlanet
62,Metabolism,6/1615,0.20090820345388208,1.0,0,0,1.516396032097049,2.4336748712600045,AGPAT5;MED13;CPT2;COX15;AMD1;SGSH,up,BioPlanet
63,L1CAM interactions,1/94,0.20635615488224895,1.0,0,0,4.3421623968736425,6.852590950224973,SCN9A,up,BioPlanet
64,"Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds",1/96,0.21025865699508986,1.0,0,0,4.2517006802721085,6.630173495783064,SLC31A1,up,BioPlanet
65,Wnt signaling pathway and pluripotency,1/98,0.21414235950352406,1.0,0,0,4.164931278633904,6.418634959615513,CTBP2,up,BioPlanet
66,RNA polymerase II transcription,1/101,0.21993285781620825,1.0,0,0,4.04122044857547,6.120157490219282,TAF1,up,BioPlanet
67,Electron transport chain,1/105,0.22758854778675144,1.0,0,0,3.887269193391643,5.7539976492801825,COX15,up,BioPlanet
68,Cytoplasmic ribosomal proteins,1/108,0.2332819671059828,1.0,0,0,3.779289493575208,5.500783816386177,RPL7,up,BioPlanet
69,Glycosaminoglycan metabolism,1/110,0.2370547198597219,1.0,0,0,3.710575139146568,5.3412403673948,SGSH,up,BioPlanet
70,S phase,1/112,0.24080928525036116,1.0,0,0,3.6443148688046647,5.188593317350888,CKS1B,up,BioPlanet
71,HIV life cycle,1/118,0.2519647137871081,1.0,0,0,3.4590107229332414,4.768129456691159,TAF1,up,BioPlanet
72,p53 activity regulation,1/118,0.2519647137871081,1.0,0,0,3.4590107229332414,4.768129456691159,SETD8,up,BioPlanet
73,Notch signaling pathway,1/121,0.257482053509444,1.0,0,0,3.37325012649688,4.576843502837304,CTBP2,up,BioPlanet
74,Rho GTPase cycle,1/123,0.2611381124361412,1.0,0,0,3.3184005309440856,4.4556357896022085,ARHGDIA,up,BioPlanet
75,p75 neurotrophin receptor-mediated signaling,1/124,0.26295952305137155,1.0,0,0,3.2916392363396967,4.3968241059794595,ARHGDIA,up,BioPlanet
76,Influenza viral RNA transcription and replication,1/125,0.26477653500882337,1.0,0,0,3.26530612244898,4.339164319545324,RPL7,up,BioPlanet
77,Neurotrophin signaling pathway,1/126,0.2665891587198105,1.0,0,0,3.2393909944930352,4.282625646359972,ARHGDIA,up,BioPlanet
78,Spliceosome,1/127,0.2683974045277928,1.0,0,0,3.2138839787883664,4.227178351586288,THOC3,up,BioPlanet
79,PDGFB signaling pathway,1/129,0.27200080396294063,1.0,0,0,3.1640563202025,4.1194439390742055,ARHGDIA,up,BioPlanet
80,Developmental biology,2/420,0.2750113012279262,1.0,0,0,1.9436345966958213,2.5091216458419447,MED13;SCN9A,up,BioPlanet
81,"TNF-alpha effects on cytokine activity, cell motility, and apoptosis",1/135,0.2827070050205103,1.0,0,0,3.0234315948601664,3.8196348770958566,ABCA7,up,BioPlanet
82,Mitotic G1-G1/S phases,1/135,0.2827070050205103,1.0,0,0,3.0234315948601664,3.8196348770958566,CKS1B,up,BioPlanet
83,Ubiquitin-mediated proteolysis,1/136,0.2844763130304335,1.0,0,0,3.0012004801920766,3.772824991365301,UBE2NL,up,BioPlanet
84,Oxidative phosphorylation,1/136,0.2844763130304335,1.0,0,0,3.0012004801920766,3.772824991365301,COX15,up,BioPlanet
85,Transmembrane transport of small molecules,2/432,0.2859509985799256,1.0,0,0,1.889644746787604,2.3657120492785197,SLC31A1;ABCA7,up,BioPlanet
86,Influenza infection,1/142,0.2950027306318848,1.0,0,0,2.8743891922966367,3.5089700095024057,RPL7,up,BioPlanet
87,Protein metabolism,2/442,0.29505905866274895,1.0,0,0,1.8468926031951245,2.2542797004758666,AP3M1;RPL7,up,BioPlanet
88,Translation,1/151,0.31050850642228905,1.0,0,0,2.703067982159751,3.161356891739086,RPL7,up,BioPlanet
89,EGFR1 pathway,1/152,0.3122106087631069,1.0,0,0,2.685284640171858,3.125878868997733,AMD1,up,BioPlanet
90,Transcription,1/181,0.35981993847876154,1.0,0,0,2.255045664674709,2.3049984069263645,TAF1,up,BioPlanet
91,Amino acid metabolism,1/195,0.3816330514858885,1.0,0,0,2.093144950287808,2.0163175934069586,AMD1,up,BioPlanet
92,Jak-STAT signaling pathway,1/199,0.3877304897677703,1.0,0,0,2.051071684955389,1.9432771914994016,PTPRD,up,BioPlanet
93,HIV infection,1/200,0.3892456229672477,1.0,0,0,2.0408163265306123,1.9256014553402925,TAF1,up,BioPlanet
94,Phospholipid metabolism,1/205,0.3967663670987994,1.0,0,0,1.9910403185664511,1.8405329367834082,AGPAT5,up,BioPlanet
95,Signaling by NGF,1/221,0.4202282253075736,1.0,0,0,1.8468926031951245,1.6011770647337644,ARHGDIA,up,BioPlanet
96,Gene expression,3/968,0.4253608961359217,1.0,0,0,1.26496879743633,1.0813172158260946,MED13;RPL7;TAF1,up,BioPlanet
97,Wnt signaling pathway,1/231,0.4344354459053535,1.0,0,0,1.7669405424507465,1.4731123178784038,CTBP2,up,BioPlanet
98,Carbohydrate metabolism,1/235,0.44002234091415104,1.0,0,0,1.7368649587494571,1.4258441659642869,SGSH,up,BioPlanet
99,SLC-mediated transmembrane transport,1/251,0.4618342775032575,1.0,0,0,1.6261484673550697,1.2562796307894015,SLC31A1,up,BioPlanet
