,diabetes,dataset
2-2-LAW,T2D,LAW
5-2-LAW,T2D,LAW
7-2-LAW,T2D,LAW
10-2-LAW,T2D,LAW
20-2-LAW,T2D,LAW
22-2-LAW,T2D,LAW
24-2-LAW,T2D,LAW
27-2-LAW,T2D,LAW
32-2-LAW,T2D,LAW
48-2-LAW,T2D,LAW
52-2-LAW,T2D,LAW
53-2-LAW,T2D,LAW
61-2-LAW,T2D,LAW
66-2-LAW,T2D,LAW
68-2-LAW,T2D,LAW
73-2-LAW,T2D,LAW
86-2-LAW,T2D,LAW
95-2-LAW,T2D,LAW
110-2-LAW,T2D,LAW
112-2-LAW,T2D,LAW
115-2-LAW,T2D,LAW
123-2-LAW,T2D,LAW
126-2-LAW,T2D,LAW
130-2-LAW,T2D,LAW
140-2-LAW,T2D,LAW
144-2-LAW,T2D,LAW
175-2-LAW,T2D,LAW
179-2-LAW,T2D,LAW
184-2-LAW,T2D,LAW
188-2-LAW,T2D,LAW
193-2-LAW,T2D,LAW
194-2-LAW,T2D,LAW
196-2-LAW,T2D,LAW
197-2-LAW,T2D,LAW
198-2-LAW,T2D,LAW
199-2-LAW,T2D,LAW
202-2-LAW,T2D,LAW
209-2-LAW,T2D,LAW
210-2-LAW,T2D,LAW
215-2-LAW,T2D,LAW
218-2-LAW,T2D,LAW
221-2-LAW,T2D,LAW
223-2-LAW,T2D,LAW
225-2-LAW,T2D,LAW
231-2-LAW,T2D,LAW
236-2-LAW,T2D,LAW
237-2-LAW,T2D,LAW
238-2-LAW,T2D,LAW
250-2-LAW,T2D,LAW
251-2-LAW,T2D,LAW
254-2-LAW,T2D,LAW
264-2-LAW,T2D,LAW
269-2-LAW,T2D,LAW
270-2-LAW,T2D,LAW
273-2-LAW,T2D,LAW
286-2-LAW,T2D,LAW
293-2-LAW,T2D,LAW
304-2-LAW,T2D,LAW
305-2-LAW,T2D,LAW
306-2-LAW,T2D,LAW
310-2-LAW,T2D,LAW
311-2-LAW,T2D,LAW
314-2-LAW,T2D,LAW
325-2-LAW,T2D,LAW
330-2-LAW,T2D,LAW
334-2-LAW,T2D,LAW
340-2-LAW,T2D,LAW
342-2-LAW,T2D,LAW
345-2-LAW,T2D,LAW
346-2-LAW,T2D,LAW
351-2-LAW,T2D,LAW
359-2-LAW,ND,LAW
363-2-LAW,ND,LAW
365-2-LAW,ND,LAW
387-2-LAW,ND,LAW
394-2-LAW,ND,LAW
402-2-LAW,ND,LAW
413-2-LAW,ND,LAW
421-2-LAW,ND,LAW
427-2-LAW,ND,LAW
429-2-LAW,ND,LAW
430-2-LAW,ND,LAW
434-2-LAW,ND,LAW
435-2-LAW,ND,LAW
442-2-LAW,ND,LAW
444-2-LAW,ND,LAW
449-2-LAW,ND,LAW
451-2-LAW,ND,LAW
453-2-LAW,ND,LAW
460-2-LAW,ND,LAW
464-2-LAW,ND,LAW
476-2-LAW,ND,LAW
480-2-LAW,ND,LAW
485-2-LAW,ND,LAW
489-2-LAW,ND,LAW
496-2-LAW,ND,LAW
498-2-LAW,ND,LAW
500-2-LAW,ND,LAW
502-2-LAW,ND,LAW
503-2-LAW,ND,LAW
509-2-LAW,ND,LAW
510-2-LAW,ND,LAW
514-2-LAW,ND,LAW
515-2-LAW,ND,LAW
516-2-LAW,ND,LAW
519-2-LAW,ND,LAW
522-2-LAW,ND,LAW
527-2-LAW,ND,LAW
532-2-LAW,ND,LAW
533-2-LAW,ND,LAW
536-2-LAW,ND,LAW
545-2-LAW,ND,LAW
554-2-LAW,ND,LAW
572-2-LAW,ND,LAW
574-2-LAW,ND,LAW
576-2-LAW,T2D,LAW
580-2-LAW,T2D,LAW
583-2-LAW,T2D,LAW
587-2-LAW,T2D,LAW
593-2-LAW,T2D,LAW
594-2-LAW,T2D,LAW
596-2-LAW,T2D,LAW
601-2-LAW,T2D,LAW
606-2-LAW,T2D,LAW
607-2-LAW,T2D,LAW
618-2-LAW,T2D,LAW
627-2-LAW,T2D,LAW
632-2-LAW,T2D,LAW
633-2-LAW,T2D,LAW
635-2-LAW,T2D,LAW
640-2-LAW,T2D,LAW
641-2-LAW,T2D,LAW
642-2-LAW,T2D,LAW
645-2-LAW,T2D,LAW
649-2-LAW,ND,LAW
651-2-LAW,ND,LAW
654-2-LAW,ND,LAW
689-2-LAW,ND,LAW
696-2-LAW,ND,LAW
700-2-LAW,ND,LAW
703-2-LAW,ND,LAW
712-2-LAW,ND,LAW
713-2-LAW,ND,LAW
738-2-LAW,ND,LAW
742-2-LAW,ND,LAW
744-2-LAW,ND,LAW
751-2-LAW,ND,LAW
761-2-LAW,ND,LAW
770-2-LAW,ND,LAW
785-2-LAW,ND,LAW
788-2-LAW,ND,LAW
790-2-LAW,ND,LAW
792-2-LAW,ND,LAW
796-2-LAW,ND,LAW
798-2-LAW,ND,LAW
800-2-LAW,ND,LAW
801-2-LAW,ND,LAW
803-2-LAW,ND,LAW
810-2-LAW,ND,LAW
811-2-LAW,ND,LAW
812-2-LAW,ND,LAW
819-2-LAW,ND,LAW
828-2-LAW,ND,LAW
839-2-LAW,ND,LAW
847-2-LAW,ND,LAW
850-2-LAW,ND,LAW
852-2-LAW,ND,LAW
857-2-LAW,ND,LAW
862-2-LAW,ND,LAW
872-2-LAW,ND,LAW
876-2-LAW,ND,LAW
878-2-LAW,ND,LAW
881-2-LAW,ND,LAW
889-2-LAW,ND,LAW
901-2-LAW,ND,LAW
909-2-LAW,ND,LAW
911-2-LAW,ND,LAW
917-2-LAW,ND,LAW
927-2-LAW,ND,LAW
930-2-LAW,ND,LAW
939-2-LAW,ND,LAW
940-2-LAW,ND,LAW
944-2-LAW,ND,LAW
947-2-LAW,ND,LAW
953-2-LAW,ND,LAW
960-2-LAW,ND,LAW
961-2-LAW,ND,LAW
964-2-LAW,ND,LAW
970-2-LAW,ND,LAW
974-2-LAW,ND,LAW
975-2-LAW,ND,LAW
978-2-LAW,ND,LAW
988-2-LAW,ND,LAW
992-2-LAW,ND,LAW
999-2-LAW,ND,LAW
1002-2-LAW,ND,LAW
1016-2-LAW,ND,LAW
1017-2-LAW,ND,LAW
1030-2-LAW,ND,LAW
1036-2-LAW,ND,LAW
1045-2-LAW,ND,LAW
1050-2-LAW,ND,LAW
1052-2-LAW,ND,LAW
1056-2-LAW,ND,LAW
1071-2-LAW,ND,LAW
1075-2-LAW,ND,LAW
1091-2-LAW,ND,LAW
1111-2-LAW,ND,LAW
1115-2-LAW,ND,LAW
1125-2-LAW,ND,LAW
ERR1630023-0-SEG,ND,SEG
ERR1630038-0-SEG,ND,SEG
ERR1630043-0-SEG,ND,SEG
ERR1630057-0-SEG,ND,SEG
ERR1630070-0-SEG,ND,SEG
ERR1630073-0-SEG,ND,SEG
ERR1630077-0-SEG,ND,SEG
ERR1630099-0-SEG,ND,SEG
ERR1630110-0-SEG,ND,SEG
ERR1630128-0-SEG,ND,SEG
ERR1630129-0-SEG,ND,SEG
ERR1630132-0-SEG,ND,SEG
ERR1630145-0-SEG,ND,SEG
ERR1630147-0-SEG,ND,SEG
ERR1630148-0-SEG,ND,SEG
ERR1630153-0-SEG,ND,SEG
ERR1630157-0-SEG,ND,SEG
ERR1630164-0-SEG,ND,SEG
ERR1630168-0-SEG,ND,SEG
ERR1630175-0-SEG,ND,SEG
ERR1630176-0-SEG,ND,SEG
ERR1630193-0-SEG,ND,SEG
ERR1630196-0-SEG,ND,SEG
ERR1630199-0-SEG,ND,SEG
ERR1630204-0-SEG,ND,SEG
ERR1630210-0-SEG,ND,SEG
ERR1630212-0-SEG,ND,SEG
ERR1630216-0-SEG,ND,SEG
ERR1630233-0-SEG,ND,SEG
ERR1630239-0-SEG,ND,SEG
ERR1630240-0-SEG,ND,SEG
ERR1630242-0-SEG,ND,SEG
ERR1630249-0-SEG,ND,SEG
ERR1630263-0-SEG,ND,SEG
ERR1630265-0-SEG,ND,SEG
ERR1630267-0-SEG,ND,SEG
ERR1630268-0-SEG,ND,SEG
ERR1630269-0-SEG,ND,SEG
ERR1630275-0-SEG,ND,SEG
ERR1630276-0-SEG,ND,SEG
ERR1630283-0-SEG,ND,SEG
ERR1630287-0-SEG,ND,SEG
ERR1630312-0-SEG,ND,SEG
ERR1630316-0-SEG,ND,SEG
ERR1630321-0-SEG,ND,SEG
ERR1630323-0-SEG,ND,SEG
ERR1630334-0-SEG,ND,SEG
ERR1630368-0-SEG,ND,SEG
ERR1630394-0-SEG,ND,SEG
ERR1630401-0-SEG,ND,SEG
ERR1630402-0-SEG,ND,SEG
ERR1630414-0-SEG,ND,SEG
ERR1630427-0-SEG,ND,SEG
ERR1630436-0-SEG,ND,SEG
ERR1630444-0-SEG,ND,SEG
ERR1630458-0-SEG,ND,SEG
ERR1630505-0-SEG,T2D,SEG
ERR1630516-0-SEG,T2D,SEG
ERR1630518-0-SEG,T2D,SEG
ERR1630556-0-SEG,T2D,SEG
ERR1630563-0-SEG,T2D,SEG
ERR1630564-0-SEG,T2D,SEG
ERR1630573-0-SEG,T2D,SEG
ERR1630644-0-SEG,T2D,SEG
ERR1630649-0-SEG,T2D,SEG
ERR1630774-0-SEG,T2D,SEG
ERR1630800-0-SEG,T2D,SEG
ERR1630869-0-SEG,ND,SEG
ERR1630870-0-SEG,ND,SEG
ERR1630872-0-SEG,ND,SEG
ERR1630882-0-SEG,ND,SEG
ERR1630889-0-SEG,ND,SEG
ERR1630900-0-SEG,ND,SEG
ERR1630937-0-SEG,ND,SEG
ERR1630941-0-SEG,ND,SEG
ERR1630947-0-SEG,ND,SEG
ERR1630953-0-SEG,ND,SEG
ERR1630972-0-SEG,ND,SEG
ERR1630995-0-SEG,ND,SEG
ERR1630997-0-SEG,ND,SEG
ERR1631006-0-SEG,ND,SEG
ERR1631010-0-SEG,ND,SEG
ERR1631020-0-SEG,ND,SEG
ERR1631021-0-SEG,ND,SEG
ERR1631026-0-SEG,ND,SEG
ERR1631031-0-SEG,ND,SEG
ERR1631051-0-SEG,ND,SEG
ERR1631066-0-SEG,ND,SEG
ERR1631077-0-SEG,ND,SEG
ERR1631081-0-SEG,ND,SEG
ERR1631094-0-SEG,ND,SEG
ERR1631098-0-SEG,ND,SEG
ERR1631116-0-SEG,ND,SEG
ERR1631120-0-SEG,ND,SEG
ERR1631122-0-SEG,ND,SEG
ERR1631130-0-SEG,ND,SEG
ERR1631160-0-SEG,ND,SEG
ERR1631178-0-SEG,ND,SEG
ERR1631189-0-SEG,ND,SEG
ERR1631192-0-SEG,ND,SEG
ERR1631202-0-SEG,ND,SEG
ERR1631232-0-SEG,ND,SEG
ERR1631235-0-SEG,ND,SEG
ERR1631243-0-SEG,ND,SEG
ERR1631253-0-SEG,ND,SEG
ERR1631349-0-SEG,ND,SEG
ERR1631350-0-SEG,ND,SEG
ERR1631370-0-SEG,ND,SEG
ERR1631374-0-SEG,ND,SEG
ERR1631421-0-SEG,ND,SEG
ERR1631422-0-SEG,ND,SEG
ERR1631434-0-SEG,ND,SEG
ERR1631451-0-SEG,ND,SEG
ERR1631551-0-SEG,ND,SEG
ERR1631564-0-SEG,ND,SEG
ERR1631565-0-SEG,ND,SEG
ERR1631699-0-SEG,ND,SEG
ERR1631702-0-SEG,ND,SEG
ERR1631748-0-SEG,ND,SEG
ERR1631786-0-SEG,ND,SEG
ERR1631968-0-SEG,ND,SEG
ERR1631980-0-SEG,ND,SEG
ERR1632024-0-SEG,T2D,SEG
ERR1632130-0-SEG,T2D,SEG
ERR1632134-0-SEG,T2D,SEG
ERR1632172-0-SEG,T2D,SEG
ERR1632207-0-SEG,T2D,SEG
ERR1632229-0-SEG,T2D,SEG
ERR1632353-0-SEG,T2D,SEG
ERR1632457-0-SEG,ND,SEG
ERR1633068-0-SEG,T2D,SEG
ERR1633143-0-SEG,T2D,SEG
ERR1633148-0-SEG,T2D,SEG
