Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Disease	3/674	0.0051342304007430005	1.0	0	0	8.09279741030483	42.66381429813946	IGFBP2;EPN1;HIST2H2BE
Ghrelin-mediated regulation of food intake and energy homeostasis	1/13	0.00712850018242009	1.0	0	0	139.86013986013987	691.4201985706308	IGFBP2
Insulin-like growth factor (IGF) activity regulation by insulin-like growth factor binding proteins (IGFBPs)	1/17	0.009312583434128836	1.0	0	0	106.951871657754	500.14852790877586	IGFBP2
Endocytotic role of NDK, phosphins and dynamin	1/17	0.009312583434128836	1.0	0	0	106.951871657754	500.14852790877586	EPN1
EGFR downregulation	1/27	0.01475370275603204	1.0	0	0	67.34006734006734	283.9233126863899	EPN1
RNA polymerase I promoter opening	1/31	0.016922534733464	1.0	0	0	58.651026392961874	239.24393718954147	HIST2H2BE
Packaging of telomere ends	1/32	0.017464064240814415	1.0	0	0	56.81818181818181	229.97783984491127	HIST2H2BE
Integrated cancer pathway	1/35	0.01908702632439229	1.0	0	0	51.94805194805194	205.64916492239948	NOXA1
ERBB1 internalization pathway	1/41	0.022325642342211446	1.0	0	0	44.34589800443459	168.603963649933	EPN1
Deposition of new CENP-A-containing nucleosomes at the centromere	1/45	0.02447931669919003	1.0	0	0	40.4040404040404	149.89602967039846	HIST2H2BE
Amyloids	1/51	0.027701743059261864	1.0	0	0	35.650623885918	127.8524043294645	HIST2H2BE
Meiotic recombination	1/54	0.02930932497110778	1.0	0	0	33.67003367003367	118.85015337350148	HIST2H2BE
Meiotic synapsis	1/55	0.029844648447595826	1.0	0	0	33.05785123966942	116.09090038690742	HIST2H2BE
RNA polymerase I transcription	1/55	0.029844648447595826	1.0	0	0	33.05785123966942	116.09090038690742	HIST2H2BE
Telomere maintenance	1/59	0.03198325976038446	1.0	0	0	30.81664098613251	106.08760078742483	HIST2H2BE
Rac1 cell motility signaling pathway	1/71	0.038373406353793084	1.0	0	0	25.60819462227913	83.49271708519889	NOXA1
Meiosis	1/83	0.044725183473176736	1.0	0	0	21.90580503833516	68.0661237096331	HIST2H2BE
RNA polymerase I, RNA polymerase III, and mitochondrial transcription	1/95	0.051038798139041684	1.0	0	0	19.13875598086124	56.94103708431419	HIST2H2BE
Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family	1/97	0.052087371500602615	1.0	0	0	18.74414245548266	55.38580598364908	NOXA1
Chromosome maintenance	1/103	0.055226775078966374	1.0	0	0	17.652250661959396	51.12634399862731	HIST2H2BE
Signaling by EGFR in cancer	1/111	0.059397943461760805	1.0	0	0	16.38001638001638	46.248905406531804	EPN1
Prolactin regulation of apoptosis	1/118	0.06303397522541687	1.0	0	0	15.408320493066254	42.58985221359758	MATN2
Interleukin-1 regulation of extracellular matrix	1/120	0.06407049195104964	1.0	0	0	15.15151515151515	41.632899470056294	MATN2
Integration of energy metabolism	1/125	0.06665722494334128	1.0	0	0	14.545454545454545	39.39188126519242	SYT5
Spliceosome	1/127	0.0676900970783306	1.0	0	0	14.316392269148174	38.551401378697996	PRPF19
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	1/135	0.07181120313483334	1.0	0	0	13.468013468013467	35.4709061627097	IGFBP2
Ubiquitin-mediated proteolysis	1/136	0.07232517529799497	1.0	0	0	13.36898395721925	35.114746047714654	PRPF19
Diabetes pathways	1/137	0.07283888870776588	1.0	0	0	13.271400132714	34.76450273204473	IGFBP2
Systemic lupus erythematosus	1/139	0.07386553979752421	1.0	0	0	13.080444735120993	34.0812147592173	HIST2H2BE
EGF/EGFR signaling pathway	1/141	0.0748911573283546	1.0	0	0	12.894906511927788	33.41998007904706	EPN1
Integrated breast cancer pathway	1/152	0.08051362066732017	1.0	0	0	11.961722488038276	30.135513253997498	NOXA1
Myometrial relaxation and contraction pathways	1/155	0.08204161892727208	1.0	0	0	11.730205278592374	29.331713930594585	IGFBP2
Transcription	1/181	0.09518789678290693	1.0	0	0	10.04520341536916	23.625338823711104	HIST2H2BE
Endocytosis	1/201	0.10518369495092054	1.0	0	0	9.045680687471732	20.37129788920578	EPN1
BDNF signaling pathway	1/261	0.1345717890784102	1.0	0	0	6.966213862765586	13.971838903086454	PRPF19
Interleukin-4 regulation of apoptosis	1/267	0.1374617975671696	1.0	0	0	6.809669731018046	13.513171510753683	HIST2H2BE
Oncostatin M	1/311	0.15838857498040515	1.0	0	0	5.846243788365975	10.772896403695368	IGFBP2
Cell cycle	1/453	0.22281600681861152	1.0	0	0	4.013646397752358	6.026124541922608	HIST2H2BE
Gene expression	1/968	0.42065342958305246	1.0	0	0	1.8782870022539444	1.6264951013569515	HIST2H2BE
Signal transduction	1/1020	0.4378339765177089	1.0	0	0	1.7825311942959001	1.4722201239024355	EPN1
