Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FOXP2 ENCODE	2/178	0.004109370718411461	0.4273745547147919	0	0	20.429009193054135	112.24689217716168	UBALD1;EPN1
BCL3 ENCODE	2/273	0.009413187820526947	0.48948576666740123	0	0	13.320013320013318	62.14643507564438	EPN1;HIST2H2BE
SIX5 ENCODE	3/1094	0.019348238335153277	0.6707389289519803	0	0	4.9858733588166855	19.670037755169712	SYT5;UBALD1;PRPF19
GABPA ENCODE	4/2082	0.021208558937650335	0.5514225323789087	0	0	3.493144703519343	13.460310733750733	NOXA1;UBALD1;PRPF19;EPN1
FLI1 ENCODE	2/650	0.047760503187313244	0.9934184662961154	0	0	5.594405594405594	17.015699436114833	PRPF19;EPN1
ZBTB33 ENCODE	2/702	0.054852843457308016	0.9507826199266723	0	0	5.18000518000518	15.03807952860564	UBALD1;HIST2H2BE
SUZ12 ENCODE	1/105	0.0562711406066492	0.8360283747273595	0	0	17.316017316017316	49.82811212983628	CDK5R2
SOX2 CHEA	2/775	0.06541687186768153	0.8504193342798598	0	0	4.6920821114369495	12.795190963809258	IGFBP2;HIST2H2BE
CTCF ENCODE	3/1790	0.06847495843928869	0.7912661864095583	0	0	3.047232097511427	8.170504329447656	NOXA1;HIST2H2BE;MATN2
BCLAF1 ENCODE	2/851	0.07711024364853991	0.801946533944815	0	0	4.273047751308621	10.949766671891638	EPN1;HIST2H2BE
BRCA1 ENCODE	4/3218	0.08595078576076706	0.8126256108290704	0	0	2.260014690095485	5.546031764793051	UBALD1;PRPF19;EPN1;HIST2H2BE
FOXA1 ENCODE	1/205	0.10717076670990663	0.9288133114858574	0	0	8.869179600886918	19.80782054222685	UBALD1
TRIM28 CHEA	1/210	0.10964896506938845	0.8771917205551076	0	0	8.658008658008658	19.138279157181405	IGFBP2
CREB1 ENCODE	3/2238	0.11648710004693294	0.8653327432057875	0	0	2.4372410431391662	5.2400066812532025	UBALD1;EPN1;HIST2H2BE
NFYA ENCODE	3/2250	0.11793016662704556	0.8176491552808491	0	0	2.424242424242424	5.182212455635079	UBALD1;CDK5R2;HIST2H2BE
STAT5A ENCODE	1/233	0.12096833412743813	0.7862941718283478	0	0	7.803355442840421	16.482453913861264	HIST2H2BE
NELFE ENCODE	1/234	0.1214574995857652	0.7430341151129165	0	0	7.77000777000777	16.38065947974378	HIST2H2BE
EZH2 CHEA	1/237	0.12292351156490608	0.710224733486124	0	0	7.671653241273494	16.08126562515525	CDK5R2
SIN3A ENCODE	2/1131	0.12529408898652125	0.6858202765578005	0	0	3.215175628968732	6.678214269209816	PRPF19;HIST2H2BE
NFIC ENCODE	1/279	0.14321551004652938	0.7447206522419527	0	0	6.516780710329097	12.66474239126716	HIST2H2BE
ELF1 ENCODE	3/2483	0.14739914571873608	0.729976721654693	0	0	2.196756123457694	4.205933646784338	NOXA1;UBALD1;EPN1
PBX3 ENCODE	2/1269	0.15138059251919286	0.7156173464543663	0	0	2.8655347804283973	5.41000969407754	CDK5R2;HIST2H2BE
SRF ENCODE	1/299	0.15272754050288706	0.6905940961869675	0	0	6.080875646093037	11.426571760973102	UBALD1
FOXA2 ENCODE	1/316	0.16073717384762146	0.696527753339693	0	0	5.7537399309551205	10.51774861039772	UBALD1
CREB1 CHEA	2/1444	0.1860604963859059	0.7740116649653686	0	0	2.518257365902795	4.234911631237623	UBALD1;EPN1
REST ENCODE	1/383	0.19163880649556417	0.7665552259822567	0	0	4.747211013529551	7.843070946274659	SYT5
EGR1 ENCODE	1/537	0.2587836914508432	0.9967964411439886	0	0	3.385813441679363	4.576816436002288	SYT5
TAF1 ENCODE	3/3346	0.27522477516595695	1.0	0	0	1.6301689941857305	2.103190486772746	UBALD1;PRPF19;HIST2H2BE
NANOG CHEA	1/595	0.2827280861193852	1.0	0	0	3.0557677616501144	3.8602587308228333	IGFBP2
FOS ENCODE	1/637	0.2996257802127125	1.0	0	0	2.8542885685742827	3.4400484722905156	UBALD1
