Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of hydrogen peroxide metabolic process (GO:0010310)	1/6	0.0032958256764104633	1.0	0	0	303.030303030303	1731.8480478097515	NOXA1
regulation of respiratory burst (GO:0060263)	1/10	0.005487567669022947	1.0	0	0	181.8181818181818	946.4127580312836	NOXA1
spliceosomal tri-snRNP complex assembly (GO:0000244)	1/12	0.006581796197874835	1.0	0	0	151.5151515151515	761.1284231055006	PRPF19
signal transduction involved in DNA damage checkpoint (GO:0072422)	1/13	0.00712850018242009	1.0	0	0	139.86013986013987	691.4201985706308	PRPF19
regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)	1/17	0.009312583434128836	1.0	0	0	106.951871657754	500.14852790877586	IGFBP2
positive regulation of activated T cell proliferation (GO:0042104)	1/19	0.010402987018789436	1.0	0	0	95.69377990430621	436.90548332320844	IGFBP2
regulation of sprouting angiogenesis (GO:1903670)	1/19	0.010402987018789436	1.0	0	0	95.69377990430621	436.90548332320844	EPN1
innate immune response in mucosa (GO:0002227)	1/19	0.010402987018789436	1.0	0	0	95.69377990430621	436.90548332320844	HIST2H2BE
negative regulation of sprouting angiogenesis (GO:1903671)	1/22	0.012036547438812547	1.0	0	0	82.64462809917354	365.27335849570125	EPN1
regulation of AMPA receptor activity (GO:2000311)	1/24	0.013124225781325726	1.0	0	0	75.75757575757575	328.27995911619576	CNIH2
mucosal immune response (GO:0002385)	1/24	0.013124225781325726	1.0	0	0	75.75757575757575	328.27995911619576	HIST2H2BE
signal transduction in response to DNA damage (GO:0042770)	1/25	0.013667656724254873	1.0	0	0	72.72727272727272	312.1980407513936	PRPF19
synaptic vesicle endocytosis (GO:0048488)	1/29	0.01583866177167553	1.0	0	0	62.69592476489028	259.8935034655946	SYT5
regulation of activated T cell proliferation (GO:0046006)	1/29	0.01583866177167553	1.0	0	0	62.69592476489028	259.8935034655946	IGFBP2
synaptic vesicle recycling (GO:0036465)	1/29	0.01583866177167553	1.0	0	0	62.69592476489028	259.8935034655946	SYT5
superoxide metabolic process (GO:0006801)	1/29	0.01583866177167553	1.0	0	0	62.69592476489028	259.8935034655946	NOXA1
regulation of glutamate receptor signaling pathway (GO:1900449)	1/32	0.017464064240814415	1.0	0	0	56.81818181818181	229.97783984491127	CNIH2
regulation of neurotransmitter receptor activity (GO:0099601)	1/33	0.01800532259639319	1.0	0	0	55.09641873278237	221.32715509624902	CNIH2
antibacterial humoral response (GO:0019731)	1/35	0.01908702632439229	1.0	0	0	51.94805194805194	205.64916492239948	HIST2H2BE
regulation of cyclin-dependent protein kinase activity (GO:1904029)	1/35	0.01908702632439229	1.0	0	0	51.94805194805194	205.64916492239948	CDK5R2
vesicle-mediated transport in synapse (GO:0099003)	1/36	0.01962747193991364	1.0	0	0	50.5050505050505	198.52651841030726	SYT5
protein K63-linked ubiquitination (GO:0070534)	1/37	0.020167646885642113	1.0	0	0	49.14004914004914	191.82681070737448	PRPF19
spliceosomal snRNP assembly (GO:0000387)	1/37	0.020167646885642113	1.0	0	0	49.14004914004914	191.82681070737448	PRPF19
regulation of regulated secretory pathway (GO:1903305)	1/37	0.020167646885642113	1.0	0	0	49.14004914004914	191.82681070737448	SYT5
DNA damage checkpoint (GO:0000077)	1/38	0.020707551273270317	1.0	0	0	47.846889952153106	185.51468179054868	PRPF19
clathrin-dependent endocytosis (GO:0072583)	1/39	0.021247185233602552	1.0	0	0	46.620046620046615	179.5585478778756	SYT5
negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)	1/40	0.02178654888216798	1.0	0	0	45.45454545454545	173.93011469901603	EPN1
spliceosomal complex assembly (GO:0000245)	1/41	0.022325642342211446	1.0	0	0	44.34589800443459	168.603963649933	PRPF19
negative regulation of ERBB signaling pathway (GO:1901185)	1/43	0.02340301917551725	1.0	0	0	42.28329809725158	158.76914335503946	EPN1
non-recombinational repair (GO:0000726)	1/49	0.02662867767591582	1.0	0	0	37.105751391465674	134.53679168157845	PRPF19
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1/49	0.02662867767591582	1.0	0	0	37.105751391465674	134.53679168157845	HIST2H2BE
regulation of reactive oxygen species metabolic process (GO:2000377)	1/49	0.02662867767591582	1.0	0	0	37.105751391465674	134.53679168157845	NOXA1
double-strand break repair via nonhomologous end joining (GO:0006303)	1/50	0.027165344857992397	1.0	0	0	36.36363636363636	131.12048014986075	PRPF19
regulation of calcium ion-dependent exocytosis (GO:0017158)	1/53	0.02877373299362358	1.0	0	0	34.305317324185246	121.72529526045803	SYT5
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	1/58	0.03144900907971979	1.0	0	0	31.34796238244514	108.44475875019188	EPN1
nucleosome assembly (GO:0006334)	1/60	0.03251724254582002	1.0	0	0	30.3030303030303	103.81772092307817	HIST2H2BE
positive regulation of T cell proliferation (GO:0042102)	1/61	0.03305095755598113	1.0	0	0	29.806259314456035	101.63054367077928	IGFBP2
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	1/63	0.03411758472221407	1.0	0	0	28.860028860028855	97.48751361059381	CNIH2
vesicle coating (GO:0006901)	1/63	0.03411758472221407	1.0	0	0	28.860028860028855	97.48751361059381	CNIH2
COPII vesicle coating (GO:0048208)	1/63	0.03411758472221407	1.0	0	0	28.860028860028855	97.48751361059381	CNIH2
defense response to Gram-positive bacterium (GO:0050830)	1/65	0.035183142220876845	1.0	0	0	27.972027972027973	93.62764266499984	HIST2H2BE
chromatin assembly (GO:0031497)	1/65	0.035183142220876845	1.0	0	0	27.972027972027973	93.62764266499984	HIST2H2BE
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	1/67	0.03624763101785663	1.0	0	0	27.137042062415194	90.02391454677013	CDK5R2
COPII-coated vesicle budding (GO:0090114)	1/68	0.036779474955290804	1.0	0	0	26.7379679144385	88.31057045950345	CNIH2
negative regulation of angiogenesis (GO:0016525)	1/69	0.03731105207809084	1.0	0	0	26.350461133069828	86.65258745347978	EPN1
regulation of cation channel activity (GO:2001257)	1/71	0.038373406353793084	1.0	0	0	25.60819462227913	83.49271708519889	CNIH2
organelle membrane fusion (GO:0090174)	1/71	0.038373406353793084	1.0	0	0	25.60819462227913	83.49271708519889	SYT5
transcription-coupled nucleotide-excision repair (GO:0006283)	1/73	0.039434694821538385	1.0	0	0	24.906600249066	80.52576017269782	PRPF19
nucleosome organization (GO:0034728)	1/79	0.04261217490903927	1.0	0	0	23.014959723820482	72.62635835562413	HIST2H2BE
regulation of protein serine/threonine kinase activity (GO:0071900)	1/80	0.04314082499469826	1.0	0	0	22.727272727272727	71.43830714872377	CDK5R2
protein catabolic process (GO:0030163)	1/81	0.04366920970201921	1.0	0	0	22.446689113355777	70.28309783824933	PRPF19
protein-DNA complex assembly (GO:0065004)	1/91	0.048938487444328285	1.0	0	0	19.980019980019982	60.28353901643958	HIST2H2BE
proteolysis involved in cellular protein catabolic process (GO:0051603)	1/93	0.049989170431872655	1.0	0	0	19.550342130987293	58.571825774698624	PRPF19
vesicle fusion (GO:0006906)	1/94	0.05051411613720297	1.0	0	0	19.342359767891683	57.7466625588391	SYT5
nucleotide-excision repair (GO:0006289)	1/108	0.057835721217223385	1.0	0	0	16.835016835016834	47.98230101106203	PRPF19
vesicle organization (GO:0016050)	1/127	0.0676900970783306	1.0	0	0	14.316392269148174	38.551401378697996	SYT5
double-strand break repair (GO:0006302)	1/141	0.0748911573283546	1.0	0	0	12.894906511927788	33.41998007904706	PRPF19
negative regulation of canonical Wnt signaling pathway (GO:0090090)	1/148	0.07847269291023612	1.0	0	0	12.285012285012286	31.265412478225468	IGFBP2
ribonucleoprotein complex assembly (GO:0022618)	1/156	0.08255043847948365	1.0	0	0	11.655011655011654	29.07162933504052	PRPF19
negative regulation of Wnt signaling pathway (GO:0030178)	1/174	0.0916654573897091	1.0	0	0	10.44932079414838	24.969797932946253	IGFBP2
ER to Golgi vesicle-mediated transport (GO:0006888)	1/180	0.09468545262186535	1.0	0	0	10.1010101010101	23.810049555429973	CNIH2
protein complex assembly (GO:0006461)	1/189	0.09919833324674639	1.0	0	0	9.620009620009618	22.228321950751177	CNIH2
regulation of canonical Wnt signaling pathway (GO:0060828)	1/213	0.11113288082569198	1.0	0	0	8.536064874093043	18.753979249648008	IGFBP2
regulation of signal transduction (GO:0009966)	1/233	0.12096833412743813	1.0	0	0	7.803355442840421	16.482453913861264	IGFBP2
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	1/236	0.1224350881991886	1.0	0	0	7.704160246533127	16.18007921179808	PRPF19
proteasomal protein catabolic process (GO:0010498)	1/237	0.12292351156490608	1.0	0	0	7.671653241273494	16.08126562515525	PRPF19
anterograde trans-synaptic signaling (GO:0098916)	1/240	0.12438729930510922	1.0	0	0	7.575757575757575	15.790569693236844	SYT5
defense response to bacterium (GO:0042742)	1/241	0.1248747347838204	1.0	0	0	7.544322897019992	15.69554255653689	HIST2H2BE
mRNA splicing, via spliceosome (GO:0000398)	1/261	0.1345717890784102	1.0	0	0	6.966213862765586	13.971838903086454	PRPF19
Golgi vesicle transport (GO:0048193)	1/271	0.13938359277392362	1.0	0	0	6.709158000670915	13.22056683313375	CNIH2
mRNA processing (GO:0006397)	1/283	0.14512564631064567	1.0	0	0	6.424670735624799	12.400612820420196	PRPF19
protein polyubiquitination (GO:0000209)	1/283	0.14512564631064567	1.0	0	0	6.424670735624799	12.400612820420196	PRPF19
chemical synaptic transmission (GO:0007268)	1/289	0.1479835926195893	1.0	0	0	6.291286568103177	12.020471041471986	SYT5
cellular protein localization (GO:0034613)	1/327	0.16588313247512798	1.0	0	0	5.5601890464275785	9.988722601051366	PRPF19
vesicle-mediated transport (GO:0016192)	1/410	0.20379652334942885	1.0	0	0	4.434589800443459	7.05380584243201	SYT5
cellular protein metabolic process (GO:0044267)	1/484	0.2362704804875858	1.0	0	0	3.756574004507889	5.419902428516505	IGFBP2
protein ubiquitination (GO:0016567)	1/506	0.24568997785912786	1.0	0	0	3.593244699964067	5.043782933672598	PRPF19
