Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AMPA glutamate receptor complex (GO:0032281)	1/18	0.009857921634816495	1.0	0	0	101.010101010101	466.6141333465025	CNIH2
U2-type catalytic step 2 spliceosome (GO:0071007)	1/29	0.01583866177167553	1.0	0	0	62.69592476489028	259.8935034655946	PRPF19
site of double-strand break (GO:0035861)	1/34	0.018546309917010683	1.0	0	0	53.475935828877	213.23446181945755	PRPF19
site of DNA damage (GO:0090734)	1/37	0.020167646885642113	1.0	0	0	49.14004914004914	191.82681070737448	PRPF19
ionotropic glutamate receptor complex (GO:0008328)	1/39	0.021247185233602552	1.0	0	0	46.620046620046615	179.5585478778756	CNIH2
endoplasmic reticulum-Golgi intermediate compartment membrane (GO:0033116)	1/47	0.02555453587694348	1.0	0	0	38.684719535783366	141.85456281077893	CNIH2
ER to Golgi transport vesicle membrane (GO:0012507)	1/54	0.02930932497110778	1.0	0	0	33.67003367003367	118.85015337350148	CNIH2
U2-type spliceosomal complex (GO:0005684)	1/60	0.03251724254582002	1.0	0	0	30.3030303030303	103.81772092307817	PRPF19
cation channel complex (GO:0034703)	1/65	0.035183142220876845	1.0	0	0	27.972027972027973	93.62764266499984	CNIH2
COPII-coated ER to Golgi transport vesicle (GO:0030134)	1/75	0.04049491842710541	1.0	0	0	24.242424242424242	77.73524324066543	CNIH2
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	1/95	0.051038798139041684	1.0	0	0	19.13875598086124	56.94103708431419	CNIH2
dendrite (GO:0030425)	1/215	0.11212090854714335	1.0	0	0	8.456659619450317	18.504671876299977	CNIH2
nuclear speck (GO:0016607)	1/296	0.1513068837331026	1.0	0	0	6.142506142506143	11.59978600723729	PRPF19
nuclear body (GO:0016604)	1/618	0.2920269333526104	1.0	0	0	2.9420417769932334	3.6213864179421393	PRPF19
