Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
insulin-like growth factor II binding (GO:0031995)	1/7	0.00384417200458596	1.0	0	0	259.7402597402597	1444.4667643181622	IGFBP2
superoxide-generating NADPH oxidase activator activity (GO:0016176)	1/9	0.0049400429229450454	1.0	0	0	202.020202020202	1072.8042947403599	NOXA1
ubiquitin-ubiquitin ligase activity (GO:0034450)	1/13	0.00712850018242009	1.0	0	0	139.86013986013987	691.4201985706308	PRPF19
insulin-like growth factor I binding (GO:0031994)	1/13	0.00712850018242009	1.0	0	0	139.86013986013987	691.4201985706308	IGFBP2
insulin-like growth factor binding (GO:0005520)	1/14	0.007674930787541144	1.0	0	0	129.87012987012986	632.4410394103228	IGFBP2
protein serine/threonine kinase activator activity (GO:0043539)	1/31	0.016922534733464	1.0	0	0	58.651026392961874	239.24393718954147	CDK5R2
Rac GTPase binding (GO:0048365)	1/43	0.02340301917551725	1.0	0	0	42.28329809725158	158.76914335503946	NOXA1
calcium-dependent phospholipid binding (GO:0005544)	1/47	0.02555453587694348	1.0	0	0	38.684719535783366	141.85456281077893	SYT5
SH3 domain binding (GO:0017124)	1/55	0.029844648447595826	1.0	0	0	33.05785123966942	116.09090038690742	NOXA1
Rho GTPase binding (GO:0017048)	1/72	0.03890418375818435	1.0	0	0	25.25252525252525	81.98619905345255	NOXA1
syntaxin binding (GO:0019905)	1/77	0.0415540781399269	1.0	0	0	23.612750885478157	75.10648435226321	SYT5
ubiquitin-like protein ligase activity (GO:0061659)	1/186	0.0976963172043407	1.0	0	0	9.775171065493646	22.735986467097657	PRPF19
ubiquitin protein ligase activity (GO:0061630)	1/192	0.1006980759679046	1.0	0	0	9.469696969696969	21.738907064536768	PRPF19
calcium ion binding (GO:0005509)	1/284	0.14560257506488403	1.0	0	0	6.402048655569782	12.335944030030424	SYT5
ubiquitin-protein transferase activity (GO:0004842)	1/417	0.20692126889930912	1.0	0	0	4.360148245040331	6.86905123848831	PRPF19
metal ion binding (GO:0046872)	1/442	0.21799028511186302	1.0	0	0	4.113533525298231	6.266165285450802	SYT5
DNA binding (GO:0003677)	1/893	0.3950323435681387	1.0	0	0	2.0360378703043875	1.89104679829424	HIST2H2BE
