Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RHO GTPases Activate NADPH Oxidases Homo sapiens R-HSA-5668599	1/13	0.00712850018242009	1.0	0	0	139.86013986013987	691.4201985706308	NOXA1
RHO GTPase Effectors Homo sapiens R-HSA-195258	2/255	0.008255133559476517	1.0	0	0	14.260249554367201	68.40527661346253	NOXA1;HIST2H2BE
DNA Repair Homo sapiens R-HSA-73894	2/285	0.01022362811243465	1.0	0	0	12.759170653907496	58.47596498868139	PRPF19;HIST2H2BE
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) Homo sapiens R-HSA-381426	1/21	0.011492299803033998	1.0	0	0	86.58008658008657	386.6734242621798	IGFBP2
EGFR downregulation Homo sapiens R-HSA-182971	1/27	0.01475370275603204	1.0	0	0	67.34006734006734	283.9233126863899	EPN1
RNA Polymerase I Promoter Opening Homo sapiens R-HSA-73728	1/30	0.01638073395054089	1.0	0	0	60.6060606060606	249.19087235368	HIST2H2BE
Signaling by Rho GTPases Homo sapiens R-HSA-194315	2/367	0.01655415397311029	1.0	0	0	9.908347783007182	40.63530555659185	NOXA1;HIST2H2BE
Packaging Of Telomere Ends Homo sapiens R-HSA-171306	1/31	0.016922534733464	1.0	0	0	58.651026392961874	239.24393718954147	HIST2H2BE
DNA methylation Homo sapiens R-HSA-5334118	1/32	0.017464064240814415	1.0	0	0	56.81818181818181	229.97783984491127	HIST2H2BE
Cargo concentration in the ER Homo sapiens R-HSA-5694530	1/33	0.01800532259639319	1.0	0	0	55.09641873278237	221.32715509624902	CNIH2
Metabolism of proteins Homo sapiens R-HSA-392499	3/1074	0.01841786782205083	1.0	0	0	5.078720162519045	20.28661253566458	IGFBP2;CNIH2;HIST2H2BE
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 Homo sapiens R-HSA-5625886	1/34	0.018546309917010683	1.0	0	0	53.475935828877	213.23446181945755	HIST2H2BE
SIRT1 negatively regulates rRNA Expression Homo sapiens R-HSA-427359	1/35	0.01908702632439229	1.0	0	0	51.94805194805194	205.64916492239948	HIST2H2BE
PRC2 methylates histones and DNA Homo sapiens R-HSA-212300	1/40	0.02178654888216798	1.0	0	0	45.45454545454545	173.93011469901603	HIST2H2BE
Condensation of Prophase Chromosomes Homo sapiens R-HSA-2299718	1/41	0.022325642342211446	1.0	0	0	44.34589800443459	168.603963649933	HIST2H2BE
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression Homo sapiens R-HSA-427389	1/43	0.02340301917551725	1.0	0	0	42.28329809725158	158.76914335503946	HIST2H2BE
Nonhomologous End-Joining (NHEJ) Homo sapiens R-HSA-5693571	1/52	0.02823787239566386	1.0	0	0	34.96503496503497	124.72346885637036	HIST2H2BE
