Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lysosome	3/121	0.0032492083659996975	1.0	0	0	10.11975037949064	57.979530025332195	GGA1;AP3M1;SGSH
Fatty acid, triacylglycerol, and ketone body metabolism	3/173	0.008755652530847998	1.0	0	0	7.0779756989501	33.53584369699836	AGPAT5;MED13;CPT2
Axonal growth stimulation	1/5	0.012191219830698688	1.0	0	0	81.6326530612245	359.7583079469002	ARHGDIA
Import of palmitoyl-CoA into the mitochondrial matrix	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	CPT2
SREBP control of lipid biosynthesis	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	SCAP
Axonogenesis regulation by p75 neurotrophin receptor	1/9	0.021839307484116888	1.0	0	0	45.35147392290249	173.42602436330466	ARHGDIA
Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha)	2/112	0.030807709687087223	1.0	0	0	7.288629737609329	25.364360829520702	MED13;CPT2
p27 phosphorylation regulation during cell cycle progression	1/13	0.03139507576319159	1.0	0	0	31.397174254317115	108.66889234518709	CKS1B
Polyamine metabolism	1/14	0.03376969386509401	1.0	0	0	29.154518950437318	98.7810935836037	AMD1
ABCA transporters in lipid homeostasis	1/17	0.04085938516720612	1.0	0	0	24.009603841536617	76.77355911185377	ABCA7
Activated AMPK stimulation of fatty-acid oxidation in muscle	1/18	0.04321127244441888	1.0	0	0	22.675736961451246	71.23931704209988	CPT2
Glycosaminoglycan degradation	1/19	0.04555751032182184	1.0	0	0	21.482277121374864	66.35402337351628	SGSH
Heparan sulfate/heparin glycosaminoglycan (HS-GAG) degradation	1/20	0.04789811206941787	1.0	0	0	20.408163265306126	62.013861006972384	SGSH
RNA polymerase II promoter escape	1/22	0.052562460131218174	1.0	0	0	18.55287569573284	54.652191090012	TAF1
Mitochondrial fatty acid beta-oxidation	1/23	0.054886232846338284	1.0	0	0	17.74622892635315	51.50830043904919	CPT2
