Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAX ENCODE	13/2073	0.001124700635438692	0.11696886608562397	0	0	2.5596345629423984	17.38052884952346	AGPAT5;AMD1;SDR39U1;GPATCH4;CABIN1;RPL7;CKS1B;GGA1;AP3M1;ADAM15;SCFD2;ARHGDIA;SCAP
NRF1 ENCODE	12/1882	0.0015828857844187156	0.08231006078977321	0	0	2.6025287904747447	16.782421614954096	AGPAT5;COX15;ARHGDIA;RBM12B;ZC3H8;SDR39U1;SCAP;TCTA;CCDC93;RPL7;CKS1B;OTUD3
SPI1 ENCODE	10/1540	0.0036514547487217445	0.1265837646223538	0	0	2.65041081367612	14.875774263181986	PURB;GGA1;TPPP3;SCFD2;ZDHHC6;ZC3H8;UBAP1;GPATCH4;ABCA7;RPL7
ERG CHEA	3/144	0.005286650609673479	0.13745291585151045	0	0	8.503401360544217	44.57968017610905	PURB;SETD8;CCDC93
UBTF ENCODE	10/1631	0.0054875830495701855	0.11414172743105985	0	0	2.502533815488182	13.026357603016407	AGPAT5;PURB;MED13;ADAM15;AMD1;SCAP;TCTA;AFF1;RPL7;OTUD3
GABPA ENCODE	11/2082	0.01061046233035954	0.18391468039289868	0	0	2.1564821894175537	9.803184198036911	PURB;GGA1;SETD8;CPT2;COX15;AMD1;ZDHHC6;SDR39U1;GPATCH4;CKS1B;DIS3L2
MYC CHEA	5/573	0.012815720016023876	0.19040498309521187	0	0	3.5616340777148556	15.518334349591678	SETD8;ZC3H8;GPATCH4;RPL7;CKS1B
ELF1 ENCODE	12/2483	0.014732875540272843	0.19152738202354697	0	0	1.9725973353497661	8.319772199810668	PURB;GGA1;KBTBD6;CPT2;COX15;SCFD2;ARHGDIA;ZDHHC6;GPATCH4;CKS1B;DIS3L2;TAF1
NFYA ENCODE	11/2250	0.018277580424208916	0.2112075960130808	0	0	1.9954648526077097	7.986010144206819	AGPAT5;MED13;SETD8;SCFD2;AMD1;ABCA7;TCTA;CCDC66;CABIN1;CKS1B;TAF1
CHD1 ENCODE	5/655	0.021603330103300244	0.2246746330743225	0	0	3.1157501168406294	11.948614440648477	MED13;SDR39U1;TCTA;AFF1;CKS1B
NFYB ENCODE	15/3715	0.02872740014633288	0.27160451047441997	0	0	1.648034718598072	5.850364879385535	AGPAT5;SETD8;SLC31A1;AMD1;SDR39U1;ABCA7;CABIN1;CKS1B;AP3M1;MED13;SCFD2;UBAP1;TCTA;CCDC66;TAF1
USF2 ENCODE	6/965	0.029665391228321077	0.257100057312116	0	0	2.537802685841176	8.927416790473307	MED13;ARHGDIA;SCAP;TCTA;SGSH;OTUD3
MYC ENCODE	8/1515	0.02968363556553245	0.23746908452425958	0	0	2.155317572573584	7.580595408816547	AGPAT5;PURB;AP3M1;SCFD2;ARHGDIA;SCAP;GPATCH4;RPL7
STAT3 ENCODE	5/725	0.0316681882015831	0.23524939806890302	0	0	2.8149190710767065	9.718346597418583	UBAP1;AFF1;CABIN1;CKS1B;TAF1
PPARD CHEA	3/285	0.03260220262576699	0.2260419382053178	0	0	4.296455424274973	14.708379925603973	SLC31A1;SCN9A;MTUS1
CEBPD ENCODE	5/734	0.03314530453805993	0.21544447949738954	0	0	2.780403714619363	9.472430115321936	GGA1;AMD1;SCN9A;UBAP1;AFF1
SP2 ENCODE	6/994	0.03361169756909447	0.20562450277563674	0	0	2.4637621648256887	8.359252159478467	GGA1;SETD8;AMD1;GPATCH4;ABCA7;CKS1B
E2F6 ENCODE	13/3245	0.04499523990360688	0.25997249722083976	0	0	1.635168705386623	5.070982858582788	AGPAT5;ZC3H8;MLF1;CKS1B;GGA1;ADAM15;ARHGDIA;RBM12B;SCAP;CCDC66;MEST;DIS3L2;OTUD3
BHLHE40 ENCODE	3/348	0.05349384897448202	0.2928084364919016	0	0	3.518648838845883	10.303267431842373	AGPAT5;ARHGDIA;SCAP
NR2C2 ENCODE	3/350	0.054242142654822675	0.2820591418050779	0	0	3.4985422740524785	10.195791718625413	SDR39U1;SCAP;DIS3L2
USF1 ENCODE	7/1423	0.05695438714054448	0.28205982202936314	0	0	2.0078305391024998	5.753447559689775	MED13;SCFD2;ARHGDIA;SDR39U1;SGSH;TAF1;OTUD3
MYOD1 ENCODE	2/166	0.06248368864095802	0.29537743721180154	0	0	4.917629702483404	13.6358482323389	PURB;TPPP3
IRF3 ENCODE	4/663	0.07867477050303724	0.35574678836155976	0	0	2.4625234709268327	6.260800327666296	AGPAT5;SETD8;ABCA7;CKS1B
ATF2 ENCODE	11/2852	0.0809688902046764	0.3508651908869311	0	0	1.5742622434668117	3.957207683250418	PURB;GGA1;AP3M1;MED13;KBTBD6;SLC31A1;ZDHHC6;UBAP1;ABCA7;RPL7;CKS1B
CREB1 ENCODE	9/2238	0.09125703550711478	0.3796292677095975	0	0	1.6414072331345408	3.9296523303231385	ZNF672;PURB;GGA1;KBTBD6;SCFD2;SLC31A1;AMD1;UBAP1;MLF1
ZNF384 ENCODE	4/730	0.10299047816594016	0.41196191266376064	0	0	2.236511042773274	5.083855163582165	AP3M1;SETD8;CCDC93;CABIN1
SPI1 CHEA	5/1056	0.11505810689506164	0.4431867821143115	0	0	1.932591218305504	4.178876779684873	PURB;GGA1;ZC3H8;UBAP1;CKS1B
IRF1 ENCODE	2/263	0.1357495194825122	0.5042125009350453	0	0	3.103903158221464	6.1983203535284375	SLC31A1;CKS1B
CTCF ENCODE	7/1790	0.14475677912639165	0.5191277596256804	0	0	1.5961691939345573	3.0849167283044405	GGA1;AP3M1;MED13;COX15;ARHGDIA;SCAP;OTUD3
BRCA1 ENCODE	11/3218	0.15393375606311577	0.5336370210188013	0	0	1.3952131505181313	2.6107687840093736	PURB;GGA1;KBTBD6;COX15;AMD1;RBM12B;ABCA7;TCTA;CCDC93;MEST;CKS1B
TCF7L2 ENCODE	3/583	0.17110580529814784	0.574032379064754	0	0	2.1003255504603215	3.7080684063204616	AP3M1;SCFD2;CKS1B
ZMIZ1 ENCODE	4/914	0.18459816945223137	0.599944050719752	0	0	1.7862724958692449	3.018039339536444	CPT2;AMD1;TCTA;AFF1
YY1 CHEA	2/332	0.19536524260765809	0.615696522157468	0	0	2.458814851241702	4.014960495094729	GPATCH4;KLHL41
