Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	2/58	0.008906341303457722	1.0	0	0	14.074595355383533	66.44604855664258	PTPRD;ARHGDIA
negative regulation of T cell differentiation in thymus (GO:0033085)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	ZC3H8
polyamine biosynthetic process (GO:0006596)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	AMD1
white fat cell differentiation (GO:0050872)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	CTBP2
positive regulation of amyloid-beta clearance (GO:1900223)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	ABCA7
spermine metabolic process (GO:0008215)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	AMD1
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	PTPRD
regulation of thymocyte apoptotic process (GO:0070243)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	ZC3H8
SREBP signaling pathway (GO:0032933)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	SCAP
snRNA transcription from RNA polymerase III promoter (GO:0042796)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	ZC3H8
positive regulation of phospholipid transport (GO:2001140)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	ABCA7
viral process (GO:0016032)	3/220	0.016685958195123637	1.0	0	0	5.565862708719852	22.78212100125265	CTBP2;UBAP1;RPL7
spermidine metabolic process (GO:0008216)	1/7	0.01702685745129035	1.0	0	0	58.309037900874635	237.49057326532406	AMD1
negative regulation of glycoprotein biosynthetic process (GO:0010561)	1/7	0.01702685745129035	1.0	0	0	58.309037900874635	237.49057326532406	ABCA7
positive regulation of apoptotic cell clearance (GO:2000427)	1/7	0.01702685745129035	1.0	0	0	58.309037900874635	237.49057326532406	ABCA7
regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903025)	1/7	0.01702685745129035	1.0	0	0	58.309037900874635	237.49057326532406	TAF1
regulation of low-density lipoprotein particle receptor biosynthetic process (GO:0045714)	1/7	0.01702685745129035	1.0	0	0	58.309037900874635	237.49057326532406	SCAP
cellular response to sterol depletion (GO:0071501)	1/7	0.01702685745129035	1.0	0	0	58.309037900874635	237.49057326532406	SCAP
regulation of receptor binding (GO:1900120)	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	ADAM15
viral mRNA export from host cell nucleus (GO:0046784)	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	THOC3
translocation of molecules into host (GO:0044417)	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	THOC3
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	1/9	0.021839307484116888	1.0	0	0	45.35147392290249	173.42602436330466	RPL7
regulation of skeletal muscle cell differentiation (GO:2001014)	1/9	0.021839307484116888	1.0	0	0	45.35147392290249	173.42602436330466	KLHL41
negative regulation of alcohol biosynthetic process (GO:1902931)	1/9	0.021839307484116888	1.0	0	0	45.35147392290249	173.42602436330466	SCAP
negative regulation of amyloid-beta formation (GO:1902430)	1/9	0.021839307484116888	1.0	0	0	45.35147392290249	173.42602436330466	ABCA7
regulation of amyloid precursor protein biosynthetic process (GO:0042984)	1/9	0.021839307484116888	1.0	0	0	45.35147392290249	173.42602436330466	ABCA7
mRNA metabolic process (GO:0016071)	2/97	0.023615958347704524	1.0	0	0	8.415737428992216	31.523943566569784	PABPC3;DIS3L2
cellular biogenic amine metabolic process (GO:0006576)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	AMD1
cytochrome complex assembly (GO:0017004)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	COX15
cellular response to ATP (GO:0071318)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	TAF1
T cell homeostasis (GO:0043029)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	ZC3H8
negative regulation of inclusion body assembly (GO:0090084)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	DNAJA4
positive regulation of transcription from RNA polymerase III promoter (GO:0045945)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	ZC3H8
regulation of amyloid-beta clearance (GO:1900221)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	ABCA7
positive regulation of T cell apoptotic process (GO:0070234)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	ZC3H8
regulation of DNA-templated transcription, initiation (GO:2000142)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	TAF1
protein K11-linked deubiquitination (GO:0035871)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	OTUD3
positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	TAF1
presynaptic membrane assembly (GO:0097105)	1/10	0.024236870821197704	1.0	0	0	40.81632653061225	151.83184561831843	PTPRD
presynaptic membrane organization (GO:0097090)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	PTPRD
protein kinase C signaling (GO:0070528)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	ADAM15
carnitine shuttle (GO:0006853)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	CPT2
regulation of hemopoiesis (GO:1903706)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	PURB
positive regulation of receptor biosynthetic process (GO:0010870)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	SCAP
negative regulation of amyloid precursor protein catabolic process (GO:1902992)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	ABCA7
fatty acid transmembrane transport (GO:1902001)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	CPT2
regulation of inclusion body assembly (GO:0090083)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	DNAJA4
RNA polymerase II transcriptional preinitiation complex assembly (GO:0051123)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	TAF1
negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000059)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	TAF1
negative regulation of T cell differentiation (GO:0045581)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	ZC3H8
negative regulation of receptor binding (GO:1900121)	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	ADAM15
viral life cycle (GO:0019058)	2/107	0.028323913780459967	1.0	0	0	7.629219912263971	27.190912235304797	CTBP2;UBAP1
modification-dependent macromolecule catabolic process (GO:0043632)	1/12	0.029014741507151904	1.0	0	0	34.01360544217687	120.40650511284572	DIS3L2
skeletal muscle cell differentiation (GO:0035914)	1/12	0.029014741507151904	1.0	0	0	34.01360544217687	120.40650511284572	KLHL41
regulation of skeletal muscle tissue development (GO:0048641)	1/12	0.029014741507151904	1.0	0	0	34.01360544217687	120.40650511284572	KLHL41
regulation of T cell differentiation in thymus (GO:0033081)	1/12	0.029014741507151904	1.0	0	0	34.01360544217687	120.40650511284572	ZC3H8
phospholipid efflux (GO:0033700)	1/12	0.029014741507151904	1.0	0	0	34.01360544217687	120.40650511284572	ABCA7
skeletal muscle fiber development (GO:0048741)	1/12	0.029014741507151904	1.0	0	0	34.01360544217687	120.40650511284572	KLHL41
polyamine metabolic process (GO:0006595)	1/12	0.029014741507151904	1.0	0	0	34.01360544217687	120.40650511284572	AMD1
transcription from RNA polymerase II promoter (GO:0006366)	4/485	0.03068364996333831	1.0	0	0	3.3662949715968864	11.728256985453374	MED13;ZC3H8;THOC3;TAF1
DNA-templated transcriptional preinitiation complex assembly (GO:0070897)	1/13	0.03139507576319159	1.0	0	0	31.397174254317115	108.66889234518709	TAF1
regulation of retinoic acid receptor signaling pathway (GO:0048385)	1/13	0.03139507576319159	1.0	0	0	31.397174254317115	108.66889234518709	CTBP2
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	1/13	0.03139507576319159	1.0	0	0	31.397174254317115	108.66889234518709	TAF1
DNA replication-independent nucleosome organization (GO:0034724)	1/13	0.03139507576319159	1.0	0	0	31.397174254317115	108.66889234518709	CABIN1
positive regulation of cholesterol efflux (GO:0010875)	1/13	0.03139507576319159	1.0	0	0	31.397174254317115	108.66889234518709	ABCA7
high-density lipoprotein particle assembly (GO:0034380)	1/13	0.03139507576319159	1.0	0	0	31.397174254317115	108.66889234518709	ABCA7
copper ion transport (GO:0006825)	1/14	0.03376969386509401	1.0	0	0	29.154518950437318	98.7810935836037	SLC31A1
myotube cell development (GO:0014904)	1/14	0.03376969386509401	1.0	0	0	29.154518950437318	98.7810935836037	KLHL41
response to ATP (GO:0033198)	1/14	0.03376969386509401	1.0	0	0	29.154518950437318	98.7810935836037	TAF1
regulation of cell differentiation (GO:0045595)	2/121	0.0354871305334787	1.0	0	0	6.74650025299376	22.523765683324626	PURB;KLHL41
intracellular lipid transport (GO:0032365)	1/15	0.03613860922017235	1.0	0	0	27.2108843537415	90.3508429299313	CPT2
presynapse assembly (GO:0099054)	1/15	0.03613860922017235	1.0	0	0	27.2108843537415	90.3508429299313	PTPRD
synaptic vesicle transport along microtubule (GO:0099517)	1/15	0.03613860922017235	1.0	0	0	27.2108843537415	90.3508429299313	AP3M1
regulation of macrophage chemotaxis (GO:0010758)	1/15	0.03613860922017235	1.0	0	0	27.2108843537415	90.3508429299313	MTUS1
anterograde synaptic vesicle transport (GO:0048490)	1/15	0.03613860922017235	1.0	0	0	27.2108843537415	90.3508429299313	AP3M1
miRNA metabolic process (GO:0010586)	1/16	0.03850183520662026	1.0	0	0	25.510204081632654	83.08799416122565	DIS3L2
heme biosynthetic process (GO:0006783)	1/16	0.03850183520662026	1.0	0	0	25.510204081632654	83.08799416122565	COX15
regulation of cell cycle phase transition (GO:1901987)	1/16	0.03850183520662026	1.0	0	0	25.510204081632654	83.08799416122565	TAF1
negative regulation of transcription regulatory region DNA binding (GO:2000678)	1/16	0.03850183520662026	1.0	0	0	25.510204081632654	83.08799416122565	TAF1
