Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
cullin-RING ubiquitin ligase complex (GO:0031461)	3/181	0.009899359026938006	1.0	0	0	6.765136994024129	31.223037109198522	KBTBD6;KLHL41;CKS1B
Cul3-RING ubiquitin ligase complex (GO:0031463)	2/70	0.012771842039635313	1.0	0	0	11.661807580174926	50.851456232232465	KBTBD6;KLHL41
THO complex part of transcription export complex (GO:0000445)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	THOC3
ATP-binding cassette (ABC) transporter complex (GO:0043190)	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	ABCA7
cytoplasmic exosome (RNase complex) (GO:0000177)	1/15	0.03613860922017235	1.0	0	0	27.2108843537415	90.3508429299313	DIS3L2
transcriptionally active chromatin (GO:0035327)	1/22	0.052562460131218174	1.0	0	0	18.55287569573284	54.652191090012	ZC3H8
MLL1 complex (GO:0071339)	1/27	0.06412562148920224	1.0	0	0	15.11715797430083	41.52549181706361	TAF1
MLL1/2 complex (GO:0044665)	1/27	0.06412562148920224	1.0	0	0	15.11715797430083	41.52549181706361	TAF1
lytic vacuole (GO:0000323)	2/183	0.0740376032488283	1.0	0	0	4.460800713728115	11.612276849926557	AP3M1;SGSH
Cajal body (GO:0015030)	1/34	0.080082106093531	1.0	0	0	12.004801920768308	30.30855755644345	ZC3H8
transcription factor TFIID complex (GO:0005669)	1/35	0.08233973871315534	1.0	0	0	11.661807580174926	29.11838409227869	TAF1
nucleolus (GO:0005730)	4/676	0.0831381784847287	1.0	0	0	2.4151672503320856	6.007127772997984	CPT2;MTUS1;RPL7;TAF1
aggresome (GO:0016235)	1/41	0.09577199782508729	1.0	0	0	9.955201592832255	23.352761921448884	CABIN1
ruffle membrane (GO:0032587)	1/53	0.12206124682690901	1.0	0	0	7.701193685021178	16.197399592213856	ABCA7
SCF ubiquitin ligase complex (GO:0019005)	1/54	0.12421790857292911	1.0	0	0	7.558578987150415	15.765063707247872	CKS1B
cytoskeleton (GO:0005856)	3/520	0.13452984561226022	1.0	0	0	2.3547880690737837	4.723632348729062	ARHGDIA;MTUS1;KLHL41
polysome (GO:0005844)	1/63	0.14339577707005752	1.0	0	0	6.4787819889860705	12.58274570686838	DIS3L2
P-body (GO:0000932)	1/68	0.15387175170898196	1.0	0	0	6.002400960384154	11.234308551223542	DIS3L2
cytosolic large ribosomal subunit (GO:0022625)	1/69	0.1559518351617717	1.0	0	0	5.915409642117717	10.992061924687228	RPL7
large ribosomal subunit (GO:0015934)	1/72	0.1621620759393262	1.0	0	0	5.668934240362812	10.312692602742626	RPL7
chromatin (GO:0000785)	2/296	0.16375313757849216	1.0	0	0	2.757859900717044	4.99005858760523	ZC3H8;TAF1
early endosome membrane (GO:0031901)	1/73	0.16422219226923945	1.0	0	0	5.591277606933184	10.10083834052681	GGA1
lysosomal lumen (GO:0043202)	1/86	0.19055636178365606	1.0	0	0	4.746084480303749	7.868093335513186	SGSH
DNA-directed RNA polymerase II, holoenzyme (GO:0016591)	1/90	0.19849439487603893	1.0	0	0	4.535147392290249	7.333308012035748	TAF1
mitochondrial inner membrane (GO:0005743)	2/341	0.20339566214404872	1.0	0	0	2.393919444610689	3.812561188151343	CPT2;COX15
nuclear chromosome, telomeric region (GO:0000784)	1/107	0.23138874349892613	1.0	0	0	3.8146099561319855	5.5832771718997884	THOC3
microtubule cytoskeleton (GO:0015630)	2/388	0.2458522720516027	1.0	0	0	2.103934357248054	2.9518713308429096	TPPP3;MTUS1
mitochondrial outer membrane (GO:0005741)	1/115	0.24640721974651333	1.0	0	0	3.5492457852706303	4.971676120080727	AGPAT5
nuclear chromosome part (GO:0044454)	2/392	0.24949189361997956	1.0	0	0	2.0824656393169514	2.8911471362338097	THOC3;TAF1
chromosome, telomeric region (GO:0000781)	1/124	0.26295952305137155	1.0	0	0	3.291639236339697	4.39682410597946	THOC3
cytosolic ribosome (GO:0022626)	1/124	0.26295952305137155	1.0	0	0	3.291639236339697	4.39682410597946	RPL7
nucleoplasm part (GO:0044451)	2/407	0.263157412308478	1.0	0	0	2.005716291430577	2.677637065560455	ZC3H8;TAF1
lysosome (GO:0005764)	2/422	0.27683500546374573	1.0	0	0	1.9344230583228554	2.484444527341046	AP3M1;SGSH
RNA polymerase II transcription factor complex (GO:0090575)	1/147	0.3036587378991768	1.0	0	0	2.7766208524226017	3.3093177310361415	TAF1
cytosolic part (GO:0044445)	1/159	0.32401061243337953	1.0	0	0	2.5670645616737264	2.8930278765298714	RPL7
vacuolar lumen (GO:0005775)	1/161	0.3273454602523001	1.0	0	0	2.5351755609075926	2.8311299591027383	SGSH
cytoplasmic ribonucleoprotein granule (GO:0036464)	1/170	0.34215391769017306	1.0	0	0	2.4009603841536613	2.575017026258781	DIS3L2
microtubule (GO:0005874)	1/210	0.40419636883981463	1.0	0	0	1.9436345966958215	1.7606500634128601	TPPP3
polymeric cytoskeletal fiber (GO:0099513)	1/221	0.4202282253075736	1.0	0	0	1.8468926031951245	1.6011770647337644	TPPP3
early endosome (GO:0005769)	1/222	0.42166453459691594	1.0	0	0	1.8385732671446957	1.5876911615982867	GGA1
lytic vacuole membrane (GO:0098852)	1/233	0.43723568494785353	1.0	0	0	1.7517736708417273	1.4492124103467563	AP3M1
mitochondrion (GO:0005739)	3/1026	0.4632958206075837	1.0	0	0	1.1934598400763814	0.9182354786019958	AGPAT5;CPT2;COX15
nuclear chromatin (GO:0000790)	1/253	0.4645015534354056	1.0	0	0	1.6132935387593772	1.2370579598555997	TAF1
