Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ubiquitin binding (GO:0043130)	2/62	0.01012557152761349	1.0	0	0	13.166556945358789	60.469930485989636	UBAP1;CKS1B
ADP-ribosylation factor binding (GO:0030306)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	GGA1
RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding (GO:0001162)	1/6	0.014611943812165882	1.0	0	0	68.02721088435374	287.4772799576697	ZC3H8
ubiquitin-protein transferase activity (GO:0004842)	4/417	0.018870608002135175	1.0	0	0	3.915235158811726	15.544069689431204	KBTBD6;UBE2NL;KLHL41;TAF1
phosphatidylcholine transporter activity (GO:0008525)	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	ABCA7
intronic transcription regulatory region sequence-specific DNA binding (GO:0001161)	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	ZC3H8
DNA binding (GO:0003677)	6/893	0.021236405146642098	1.0	0	0	2.7424183559201953	10.563900668187866	PURB;ZC3H8;AFF1;MLF1;RPL7;TAF1
transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly (GO:0001075)	1/9	0.021839307484116888	1.0	0	0	45.35147392290249	173.42602436330466	TAF1
double-stranded DNA binding (GO:0003690)	2/99	0.024529187812367872	1.0	0	0	8.245722531436819	30.574244743208908	PURB;AFF1
oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor (GO:0016653)	1/13	0.03139507576319159	1.0	0	0	31.397174254317115	108.66889234518709	COX15
vitamin D receptor binding (GO:0042809)	1/14	0.03376969386509401	1.0	0	0	29.154518950437318	98.7810935836037	MED13
poly(A) binding (GO:0008143)	1/14	0.03376969386509401	1.0	0	0	29.154518950437318	98.7810935836037	PABPC3
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	1/15	0.03613860922017235	1.0	0	0	27.2108843537415	90.3508429299313	PTPRD
transmembrane receptor protein phosphatase activity (GO:0019198)	1/15	0.03613860922017235	1.0	0	0	27.2108843537415	90.3508429299313	PTPRD
poly(U) RNA binding (GO:0008266)	1/16	0.03850183520662026	1.0	0	0	25.510204081632654	83.08799416122565	DIS3L2
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	1/18	0.04321127244441888	1.0	0	0	22.675736961451246	71.23931704209988	AGPAT5
phosphatase inhibitor activity (GO:0019212)	1/18	0.04321127244441888	1.0	0	0	22.675736961451246	71.23931704209988	CABIN1
lysine-acetylated histone binding (GO:0070577)	1/18	0.04321127244441888	1.0	0	0	22.675736961451246	71.23931704209988	TAF1
acetylation-dependent protein binding (GO:0140033)	1/18	0.04321127244441888	1.0	0	0	22.675736961451246	71.23931704209988	TAF1
ubiquitin conjugating enzyme activity (GO:0061631)	1/20	0.04789811206941787	1.0	0	0	20.408163265306126	62.013861006972384	TAF1
poly-purine tract binding (GO:0070717)	1/20	0.04789811206941787	1.0	0	0	20.408163265306126	62.013861006972384	PABPC3
poly-pyrimidine tract binding (GO:0008187)	1/20	0.04789811206941787	1.0	0	0	20.408163265306126	62.013861006972384	DIS3L2
phospholipid-translocating ATPase activity (GO:0004012)	1/20	0.04789811206941787	1.0	0	0	20.408163265306126	62.013861006972384	ABCA7
transcription factor activity, RNA polymerase II core promoter sequence-specific (GO:0000983)	1/20	0.04789811206941787	1.0	0	0	20.408163265306126	62.013861006972384	TAF1
lysophosphatidic acid acyltransferase activity (GO:0042171)	1/20	0.04789811206941787	1.0	0	0	20.408163265306126	62.013861006972384	AGPAT5
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	1/21	0.0502330909367498	1.0	0	0	19.43634596695821	58.13569071802752	TAF1
TBP-class protein binding (GO:0017025)	1/21	0.0502330909367498	1.0	0	0	19.43634596695821	58.13569071802752	TAF1
protein phosphatase inhibitor activity (GO:0004864)	1/23	0.054886232846338284	1.0	0	0	17.74622892635315	51.50830043904919	CABIN1
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)	1/23	0.054886232846338284	1.0	0	0	17.74622892635315	51.50830043904919	SCN9A
voltage-gated sodium channel activity (GO:0005248)	1/23	0.054886232846338284	1.0	0	0	17.74622892635315	51.50830043904919	SCN9A
protein-cysteine S-palmitoyltransferase activity (GO:0019706)	1/24	0.05720442221925741	1.0	0	0	17.006802721088434	48.658572654069516	ZDHHC6
protein-cysteine S-acyltransferase activity (GO:0019707)	1/24	0.05720442221925741	1.0	0	0	17.006802721088434	48.658572654069516	ZDHHC6
exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896)	1/25	0.05951704140202087	1.0	0	0	16.3265306122449	46.065185262369035	DIS3L2
thyroid hormone receptor binding (GO:0046966)	1/26	0.06182410346022105	1.0	0	0	15.698587127158557	43.696420202979034	MED13
carboxy-lyase activity (GO:0016831)	1/26	0.06182410346022105	1.0	0	0	15.698587127158557	43.696420202979034	AMD1
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	1/27	0.06412562148920224	1.0	0	0	15.11715797430083	41.52549181706361	CKS1B
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	1/27	0.06412562148920224	1.0	0	0	15.11715797430083	41.52549181706361	TAF1
palmitoyltransferase activity (GO:0016409)	1/28	0.06642160851252993	1.0	0	0	14.577259475218659	39.529633324123054	ZDHHC6
acylglycerol O-acyltransferase activity (GO:0016411)	1/28	0.06642160851252993	1.0	0	0	14.577259475218659	39.529633324123054	AGPAT5
mRNA binding (GO:0003729)	2/179	0.07125997090554113	1.0	0	0	4.5604834112415915	12.04615449590929	PURB;RPL7
sequence-specific DNA binding (GO:0043565)	3/394	0.07196252095280897	1.0	0	0	3.107842121620222	8.17862790163898	PURB;ZC3H8;TAF1
3'-5'-exoribonuclease activity (GO:0000175)	1/31	0.0732765135248936	1.0	0	0	13.166556945358789	34.41099588139884	DIS3L2
protein serine/threonine kinase activator activity (GO:0043539)	1/31	0.0732765135248936	1.0	0	0	13.166556945358789	34.41099588139884	CKS1B
transition metal ion transmembrane transporter activity (GO:0046915)	1/32	0.07555050634212196	1.0	0	0	12.755102040816327	32.94584041079259	SLC31A1
3'-5' exonuclease activity (GO:0008408)	1/38	0.08908012117667435	1.0	0	0	10.741138560687432	25.974426168431595	DIS3L2
peptide-lysine-N-acetyltransferase activity (GO:0061733)	1/39	0.09131611933080343	1.0	0	0	10.465724751439037	25.04895817379359	TAF1
sodium channel activity (GO:0005272)	1/40	0.09354674065934461	1.0	0	0	10.204081632653063	24.17647007648962	SCN9A
histone acetyltransferase activity (GO:0004402)	1/41	0.09577199782508729	1.0	0	0	9.955201592832255	23.352761921448884	TAF1
hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820)	1/42	0.09799190344985674	1.0	0	0	9.718172983479105	22.574056575152703	ABCA7
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	3/460	0.10274155898370348	1.0	0	0	2.6619343389529724	6.05733428568915	PURB;ZC3H8;TAF1
P-P-bond-hydrolysis-driven transmembrane transporter activity (GO:0015405)	1/45	0.10461963696044026	1.0	0	0	9.070294784580499	20.475501234681968	ABCA7
ATPase activity, coupled to transmembrane movement of substances (GO:0042626)	1/45	0.10461963696044026	1.0	0	0	9.070294784580499	20.475501234681968	ABCA7
protein phosphatase regulator activity (GO:0019888)	1/47	0.10901159849285975	1.0	0	0	8.684324793747287	19.247077674533823	CABIN1
ribonuclease activity (GO:0004540)	1/49	0.11338245452043422	1.0	0	0	8.329862557267806	18.134016007506887	DIS3L2
RNA binding (GO:0003723)	6/1387	0.1215696666002297	1.0	0	0	1.7656666127157423	3.7207323859203623	PURB;RBM12B;NBPF10;ZC3H8;GPATCH4;RPL7
methylated histone binding (GO:0035064)	1/55	0.12636938033824105	1.0	0	0	7.421150278293135	15.350991248791994	TAF1
SH3 domain binding (GO:0017124)	1/55	0.12636938033824105	1.0	0	0	7.421150278293135	15.350991248791994	ADAM15
ATPase activity, coupled to movement of substances (GO:0043492)	1/56	0.1285156743868668	1.0	0	0	7.288629737609329	14.954113720272913	ABCA7
transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)	1/56	0.1285156743868668	1.0	0	0	7.288629737609329	14.954113720272913	ZDHHC6
nuclear hormone receptor binding (GO:0035257)	1/56	0.1285156743868668	1.0	0	0	7.288629737609329	14.954113720272913	MED13
tubulin binding (GO:0015631)	2/255	0.1291411867660454	1.0	0	0	3.201280512204882	6.552537821729148	TPPP3;MTUS1
nuclease activity (GO:0004518)	1/59	0.1349236118713764	1.0	0	0	6.918021445866483	13.857118634937683	DIS3L2
protein heterodimerization activity (GO:0046982)	2/265	0.13741365721745422	1.0	0	0	3.0804774740084713	6.114006951487249	GGA1;TAF1
protein tyrosine phosphatase activity (GO:0004725)	1/62	0.14128538719624217	1.0	0	0	6.583278472679394	12.883300931598015	PTPRD
small GTPase binding (GO:0031267)	1/63	0.14339577707005752	1.0	0	0	6.4787819889860705	12.58274570686838	GGA1
ligand-dependent nuclear receptor transcription coactivator activity (GO:0030374)	1/65	0.1476013260006852	1.0	0	0	6.279434850863423	12.014068339790512	MED13
metalloendopeptidase activity (GO:0004222)	1/65	0.1476013260006852	1.0	0	0	6.279434850863423	12.014068339790512	ADAM15
transcription coactivator activity (GO:0003713)	2/291	0.15944149349257508	1.0	0	0	2.805245809664072	5.15065077777678	MED13;TAF1
core promoter sequence-specific DNA binding (GO:0001046)	1/73	0.16422219226923945	1.0	0	0	5.591277606933184	10.10083834052681	TAF1
ubiquitin-like protein-specific protease activity (GO:0019783)	1/74	0.1662773462428849	1.0	0	0	5.515719801434088	9.895742549883874	OTUD3
thiol-dependent ubiquitin-specific protease activity (GO:0004843)	1/76	0.1703728138367953	1.0	0	0	5.370569280343716	9.5046520973501	OTUD3
RNA polymerase II transcription cofactor activity (GO:0001104)	1/84	0.18655851672692078	1.0	0	0	4.859086491739553	8.158456396990406	MED13
single-stranded DNA binding (GO:0003697)	1/87	0.19254806017668188	1.0	0	0	4.691531785127844	7.7288740002791085	PURB
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	1/88	0.1945349576029131	1.0	0	0	4.63821892393321	7.593429505876668	CTBP2
thiol-dependent ubiquitinyl hydrolase activity (GO:0036459)	1/92	0.20243476399124583	1.0	0	0	4.436557231588288	7.08667966933301	OTUD3
ion channel activity (GO:0005216)	1/93	0.204397826110705	1.0	0	0	4.388852315119597	6.968124012180659	SCN9A
integrin binding (GO:0005178)	1/94	0.20635615488224898	1.0	0	0	4.342162396873643	6.852590950224973	ADAM15
cation transmembrane transporter activity (GO:0008324)	1/97	0.21220285264448208	1.0	0	0	4.207868714496108	6.523091141193635	SCN9A
metallopeptidase activity (GO:0008237)	1/102	0.2218537199073844	1.0	0	0	4.001600640256102	6.0253582778260055	ADAM15
transcription regulatory region DNA binding (GO:0044212)	2/374	0.23313699703815036	1.0	0	0	2.1826912583215106	3.178280100583489	PURB;TAF1
sequence-specific double-stranded DNA binding (GO:1990837)	1/112	0.24080928525036113	1.0	0	0	3.6443148688046647	5.188593317350888	PURB
RNA polymerase II transcription factor binding (GO:0001085)	1/121	0.257482053509444	1.0	0	0	3.37325012649688	4.576843502837304	TAF1
magnesium ion binding (GO:0000287)	1/127	0.26839740452779276	1.0	0	0	3.213883978788366	4.2271783515862875	DIS3L2
kinase binding (GO:0019900)	2/418	0.27318752590767437	1.0	0	0	1.9529342837613515	2.534121299724316	CTBP2;CKS1B
Rab GTPase binding (GO:0017137)	1/130	0.27379597816046286	1.0	0	0	3.1397174254317113	4.067102214141391	AP3M1
cation channel activity (GO:0005261)	1/146	0.301935906875971	1.0	0	0	2.795638803466592	3.3478907269178584	SCN9A
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001227)	1/159	0.32401061243337953	1.0	0	0	2.5670645616737264	2.8930278765298714	PURB
protein kinase binding (GO:0019901)	2/495	0.3430109098953936	1.0	0	0	1.6491445062873635	1.7645731190217897	CTBP2;CKS1B
