Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lysosome	3/123	0.0034027389004454276	1.0	0	0	9.955201592832255	56.57714895663469	GGA1;AP3M1;SGSH
Glycosaminoglycan degradation	1/19	0.04555751032182184	1.0	0	0	21.482277121374864	66.35402337351628	SGSH
RNA transport	2/165	0.06182511643006713	1.0	0	0	4.94743351886209	13.770911972079565	PABPC3;THOC3
Transcriptional misregulation in cancer	2/186	0.07614366001328325	1.0	0	0	4.388852315119597	11.301880446182526	AFF1;MLF1
Porphyrin and chlorophyll metabolism	1/42	0.09799190344985674	1.0	0	0	9.718172983479105	22.574056575152703	COX15
Fatty acid degradation	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	CPT2
Vasopressin-regulated water reabsorption	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	ARHGDIA
ABC transporters	1/45	0.10461963696044026	1.0	0	0	9.070294784580499	20.475501234681968	ABCA7
Basal transcription factors	1/45	0.10461963696044026	1.0	0	0	9.070294784580499	20.475501234681968	TAF1
Cysteine and methionine metabolism	1/47	0.10901159849285975	1.0	0	0	8.684324793747287	19.247077674533823	AMD1
Thermogenesis	2/231	0.10982643836999695	1.0	0	0	3.533881084901493	7.80582734262446	CPT2;COX15
Notch signaling pathway	1/48	0.11119965848123285	1.0	0	0	8.503401360544217	18.67710857467947	CTBP2
Arginine and proline metabolism	1/49	0.11338245452043422	1.0	0	0	8.329862557267806	18.134016007506887	AMD1
Mineral absorption	1/51	0.117732304342972	1.0	0	0	8.003201280512204	17.12158334507697	SLC31A1
Glycerolipid metabolism	1/61	0.13916990440240695	1.0	0	0	6.691201070592172	13.195448367099166	AGPAT5
PPAR signaling pathway	1/74	0.1662773462428849	1.0	0	0	5.515719801434088	9.895742549883874	CPT2
Chronic myeloid leukemia	1/76	0.1703728138367953	1.0	0	0	5.370569280343716	9.5046520973501	CTBP2
RNA degradation	1/79	0.1764790891137693	1.0	0	0	5.1666236114699045	8.961781890486334	PABPC3
Taste transduction	1/83	0.1845523472379876	1.0	0	0	4.917629702483404	8.309919502713068	SCN9A
mRNA surveillance pathway	1/91	0.20046695733149195	1.0	0	0	4.485310607759588	7.208368904040989	PABPC3
Small cell lung cancer	1/93	0.204397826110705	1.0	0	0	4.388852315119597	6.968124012180659	CKS1B
Glycerophospholipid metabolism	1/97	0.21220285264448208	1.0	0	0	4.207868714496108	6.523091141193635	AGPAT5
Thyroid hormone signaling pathway	1/116	0.24826419695837743	1.0	0	0	3.518648838845883	4.902398977978436	MED13
Neurotrophin signaling pathway	1/119	0.25380827453837335	1.0	0	0	3.429943405933802	4.703056496790393	ARHGDIA
Oxidative phosphorylation	1/133	0.27915552222562046	1.0	0	0	3.0688967316249807	3.9158699559113153	COX15
Spliceosome	1/134	0.28093341146580997	1.0	0	0	3.045994517209869	3.867309191601433	THOC3
Ubiquitin mediated proteolysis	1/137	0.286241345606316	1.0	0	0	2.9792939073439593	3.7268582102203505	UBE2NL
Phospholipase D signaling pathway	1/148	0.3053774035133981	1.0	0	0	2.757859900717044	3.2713923848331303	AGPAT5
Ribosome	1/153	0.3139085948171959	1.0	0	0	2.667733760170735	3.090978884246512	RPL7
Wnt signaling pathway	1/158	0.3223371204330746	1.0	0	0	2.5833118057349522	2.924715379098926	CTBP2
Pathways in cancer	2/530	0.37417706337246803	1.0	0	0	1.5402387370042356	1.5140949743915917	CTBP2;CKS1B
