Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Fatty acid, triacylglycerol, and ketone body metabolism Homo sapiens R-HSA-535734	3/217	0.0160912469066545	1.0	0	0	5.642810119439481	23.30187054581879	AGPAT5;MED13;CPT2
Axonal growth inhibition (RHOA activation) Homo sapiens R-HSA-193634	1/8	0.01943597418461227	1.0	0	0	51.02040816326531	201.05253013595427	ARHGDIA
p75NTR regulates axonogenesis Homo sapiens R-HSA-193697	1/9	0.021839307484116888	1.0	0	0	45.35147392290249	173.42602436330466	ARHGDIA
Import of palmitoyl-CoA into the mitochondrial matrix Homo sapiens R-HSA-200425	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	CPT2
Heme biosynthesis Homo sapiens R-HSA-189451	1/11	0.02662867767591582	1.0	0	0	37.10575139146568	134.53679168157848	COX15
PPARA activates gene expression Homo sapiens R-HSA-1989781	2/113	0.03131455034104185	1.0	0	0	7.224128589488893	25.02201497075918	MED13;CPT2
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) Homo sapiens R-HSA-400206	2/116	0.03285489913796097	1.0	0	0	7.037297677691766	24.03697683709684	MED13;CPT2
Repression of WNT target genes Homo sapiens R-HSA-4641265	1/14	0.03376969386509401	1.0	0	0	29.154518950437318	98.7810935836037	CTBP2
RNA Polymerase II Transcription Homo sapiens R-HSA-73857	2/124	0.03710465714410881	1.0	0	0	6.583278472679394	21.685403474365447	THOC3;TAF1
ABC transporters in lipid homeostasis Homo sapiens R-HSA-1369062	1/17	0.04085938516720612	1.0	0	0	24.009603841536617	76.77355911185377	ABCA7
Formation of Senescence-Associated Heterochromatin Foci (SAHF) Homo sapiens R-HSA-2559584	1/17	0.04085938516720612	1.0	0	0	24.009603841536617	76.77355911185377	CABIN1
Metabolism of porphyrins Homo sapiens R-HSA-189445	1/17	0.04085938516720612	1.0	0	0	24.009603841536617	76.77355911185377	COX15
Regulation of TP53 Activity through Methylation Homo sapiens R-HSA-6804760	1/19	0.04555751032182184	1.0	0	0	21.482277121374864	66.35402337351628	SETD8
HS-GAG degradation Homo sapiens R-HSA-2024096	1/21	0.0502330909367498	1.0	0	0	19.43634596695821	58.13569071802752	SGSH
SALM protein interactions at the synapse Homo sapiens R-HSA-8849932	1/22	0.052562460131218174	1.0	0	0	18.55287569573284	54.652191090012	PTPRD
Regulation of TP53 Activity Homo sapiens R-HSA-5633007	2/151	0.0528680221477525	1.0	0	0	5.406135964319502	15.89380521238643	SETD8;TAF1
Metal ion SLC transporters Homo sapiens R-HSA-425410	1/25	0.05951704140202087	1.0	0	0	16.3265306122449	46.065185262369035	SLC31A1
Synthesis of PA Homo sapiens R-HSA-1483166	1/28	0.06642160851252993	1.0	0	0	14.577259475218659	39.529633324123054	AGPAT5
Interaction between L1 and Ankyrins Homo sapiens R-HSA-445095	1/29	0.06871207754428547	1.0	0	0	14.074595355383533	37.68937781813083	SCN9A
Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833	4/659	0.07732672078127364	1.0	0	0	2.4774705026168284	6.341620158628928	AGPAT5;MED13;CPT2;SCAP
Signaling by WNT in cancer Homo sapiens R-HSA-4791275	1/34	0.080082106093531	1.0	0	0	12.004801920768308	30.30855755644345	CTBP2
G1 Phase Homo sapiens R-HSA-69236	1/38	0.08908012117667435	1.0	0	0	10.741138560687432	25.974426168431595	CKS1B
Cyclin D associated events in G1 Homo sapiens R-HSA-69231	1/38	0.08908012117667435	1.0	0	0	10.741138560687432	25.974426168431595	CKS1B
Metabolism Homo sapiens R-HSA-1430728	8/1908	0.09077571042697502	1.0	0	0	1.7113763744491508	4.106214068321453	AGPAT5;MED13;CPT2;COX15;AMD1;SCAP;RPL7;SGSH
Association of TriC/CCT with target proteins during biosynthesis Homo sapiens R-HSA-390471	1/39	0.09131611933080343	1.0	0	0	10.465724751439037	25.04895817379359	AP3M1
PKMTs methylate histone lysines Homo sapiens R-HSA-3214841	1/40	0.09354674065934461	1.0	0	0	10.204081632653063	24.17647007648962	SETD8
Condensation of Prophase Chromosomes Homo sapiens R-HSA-2299718	1/41	0.09577199782508729	1.0	0	0	9.955201592832255	23.352761921448884	SETD8
Phase 0 - rapid depolarisation Homo sapiens R-HSA-5576892	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	SCN9A
RNA Polymerase II HIV Promoter Escape Homo sapiens R-HSA-167162	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	TAF1
RNA Polymerase II Promoter Escape Homo sapiens R-HSA-73776	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	TAF1
RNA Polymerase II Transcription Initiation And Promoter Clearance Homo sapiens R-HSA-76042	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	TAF1
RNA Polymerase II Transcription Initiation Homo sapiens R-HSA-75953	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	TAF1
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening Homo sapiens R-HSA-73779	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	TAF1
HIV Transcription Initiation Homo sapiens R-HSA-167161	1/44	0.10241571046432069	1.0	0	0	9.27643784786642	21.138359514300806	TAF1
ABC-family proteins mediated transport Homo sapiens R-HSA-382556	1/45	0.10461963696044026	1.0	0	0	9.070294784580499	20.475501234681968	ABCA7
mRNA 3'-end processing Homo sapiens R-HSA-72187	1/51	0.117732304342972	1.0	0	0	8.003201280512204	17.12158334507697	THOC3
Post-Elongation Processing of Intron-Containing pre-mRNA Homo sapiens R-HSA-112296	1/51	0.117732304342972	1.0	0	0	8.003201280512204	17.12158334507697	THOC3
